Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""coefficient"": 0.00321, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00381, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00263, ""conclusion"": ""Not strongly correlated""}"
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""coefficient"": 0.00937, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00467, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00322, ""conclusion"": ""Not strongly correlated""}"
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""coefficient"": 0.1104, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0633, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04816, ""conclusion"": ""Not strongly correlated""}"
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.05481, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05612, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0412, ""conclusion"": ""Not strongly correlated""}"
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.05665, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03416, ""conclusion"": ""Not strongly correlated""}"
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.3541, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.31698, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.20708, ""conclusion"": ""Not strongly correlated""}"
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""coefficient"": 0.2283, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.19492, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13227, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""coefficient"": -0.00404, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00801, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00544, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""coefficient"": 0.0007, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00099, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""coefficient"": 0.00639, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00578, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0041, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""coefficient"": 0.0122, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01255, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0101, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""coefficient"": -0.00156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00106, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00069, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""coefficient"": -0.0101, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.01055, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00753, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Age,Balance,"{""coefficient"": 0.02832, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03331, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02361, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""coefficient"": -0.03067, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.05851, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04772, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""coefficient"": -0.00714, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00152, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Tenure,Balance,"{""coefficient"": -0.01228, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00953, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00702, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Tenure,NumOfProducts,"{""coefficient"": 0.01342, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01287, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01084, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,"{""coefficient"": 0.00783, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00783, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00546, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Balance,NumOfProducts,"{""coefficient"": -0.30423, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.31671, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.26681, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,"{""coefficient"": 0.0127, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00813, ""conclusion"": ""Not strongly correlated""}"
