Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""coefficient"": 0.78222, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.80061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62195, ""conclusion"": ""Strongly correlated""}"
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""coefficient"": 0.57622, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5543, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41945, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Nigeria,Pakistan,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.91287, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,Japan,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": -1.0, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,United States,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.66667, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,Brazil,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.54772, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,Philippines,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 1.0, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,Myanmar,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.66667, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,Thailand,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.66667, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,Vietnam,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 1.0, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,Indonesia,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.66667, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,Bangladesh,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 1.0, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,India,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 1.0, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Nigeria,China,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.66667, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,Japan,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": -0.91287, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,United States,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.54772, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,Philippines,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.91287, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,Myanmar,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.54772, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,Thailand,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.54772, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,Vietnam,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.91287, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,Indonesia,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.54772, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,Bangladesh,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.91287, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,India,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.91287, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,China,"{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": ""null"", ""conclusion"": ""Not applicable""}","{""coefficient"": 0.54772, ""conclusion"": ""Strongly correlated""}"
