Dataset Name,Column,Mean,Median,Mode,Range,Quartile,Standard Deviation,Skewness,Kurtosis
2023 Netflix Engagement Dataset,Available Globally?,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""No""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
2023 Netflix Engagement Dataset,Hours Viewed,"{""conclusion"": ""9142651.55604""}","{""conclusion"": ""1800000.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""812100000.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 200000.0, 'Median': 1800000.0, 'Q3': 7000000.0, 'Max': 812100000.0}\""""}","{""conclusion"": ""30186588.35385""}","{""conclusion"": ""11.99362""}","{""conclusion"": ""217.52997""}"
2023 Netflix Engagement Dataset,Number of Ratings,"{""conclusion"": ""20865.9058""}","{""conclusion"": ""2358.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""1937634.0""}","{""conclusion"": ""\""{'Min': 5.0, 'Q1': 318.0, 'Median': 2358.0, 'Q3': 11349.0, 'Max': 1937639.0}\""""}","{""conclusion"": ""83524.60367""}","{""conclusion"": ""10.9534""}","{""conclusion"": ""172.11299""}"
2023 Netflix Engagement Dataset,Rating,"{""conclusion"": ""6.61644""}","{""conclusion"": ""6.6""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""8.6""}","{""conclusion"": ""\""{'Min': 1.4, 'Q1': 5.8, 'Median': 6.6, 'Q3': 7.4, 'Max': 10.0}\""""}","{""conclusion"": ""1.25201""}","{""conclusion"": ""-0.28484""}","{""conclusion"": ""0.53027""}"
Advertising Budget and Sales Dataset,TV Ad Budget ($),"{""conclusion"": ""147.0425""}","{""conclusion"": ""149.75""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""295.7""}","{""conclusion"": ""\""{'Min': 0.7, 'Q1': 74.375, 'Median': 149.75, 'Q3': 218.825, 'Max': 296.4}\""""}","{""conclusion"": ""85.63933""}","{""conclusion"": ""-0.06985""}","{""conclusion"": ""-1.22649""}"
Advertising Budget and Sales Dataset,Radio Ad Budget ($),"{""conclusion"": ""23.264""}","{""conclusion"": ""22.9""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""49.6""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 9.975, 'Median': 22.9, 'Q3': 36.525, 'Max': 49.6}\""""}","{""conclusion"": ""14.80965""}","{""conclusion"": ""0.09417""}","{""conclusion"": ""-1.2604""}"
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),"{""conclusion"": ""30.554""}","{""conclusion"": ""25.75""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""113.7""}","{""conclusion"": ""\""{'Min': 0.3, 'Q1': 12.75, 'Median': 25.75, 'Q3': 45.1, 'Max': 114.0}\""""}","{""conclusion"": ""21.72411""}","{""conclusion"": ""0.89472""}","{""conclusion"": ""0.6495""}"
Advertising Budget and Sales Dataset,Sales ($),"{""conclusion"": ""14.0225""}","{""conclusion"": ""12.9""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""25.4""}","{""conclusion"": ""\""{'Min': 1.6, 'Q1': 10.375, 'Median': 12.9, 'Q3': 17.4, 'Max': 27.0}\""""}","{""conclusion"": ""5.2044""}","{""conclusion"": ""0.40757""}","{""conclusion"": ""-0.40887""}"
Bank Customer Churn Prediction Dataset,CreditScore,"{""conclusion"": ""650.55509""}","{""conclusion"": ""652.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""500.0""}","{""conclusion"": ""\""{'Min': 350.0, 'Q1': 584.0, 'Median': 652.0, 'Q3': 718.0, 'Max': 850.0}\""""}","{""conclusion"": ""96.65678""}","{""conclusion"": ""-0.07188""}","{""conclusion"": ""-0.42634""}"
Bank Customer Churn Prediction Dataset,Geography,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""France""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Bank Customer Churn Prediction Dataset,Gender,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Male""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Bank Customer Churn Prediction Dataset,Age,"{""conclusion"": ""38.92231""}","{""conclusion"": ""37.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""74.0""}","{""conclusion"": ""\""{'Min': 18.0, 'Q1': 32.0, 'Median': 37.0, 'Q3': 44.0, 'Max': 92.0}\""""}","{""conclusion"": ""10.48668""}","{""conclusion"": ""1.01129""}","{""conclusion"": ""1.39568""}"
Bank Customer Churn Prediction Dataset,Tenure,"{""conclusion"": ""5.0125""}","{""conclusion"": ""5.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""10.0""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 3.0, 'Median': 5.0, 'Q3': 7.0, 'Max': 10.0}\""""}","{""conclusion"": ""2.89183""}","{""conclusion"": ""0.01127""}","{""conclusion"": ""-1.16505""}"
Bank Customer Churn Prediction Dataset,Balance,"{""conclusion"": ""76491.11288""}","{""conclusion"": ""97198.54""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""250898.09""}","{""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 97198.54000000001, 'Q3': 127647.84, 'Max': 250898.09}\""""}","{""conclusion"": ""62390.35502""}","{""conclusion"": ""-0.14129""}","{""conclusion"": ""-1.48923""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,"{""conclusion"": ""1.53019""}","{""conclusion"": ""1.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""3.0""}","{""conclusion"": ""\""{'Min': 1.0, 'Q1': 1.0, 'Median': 1.0, 'Q3': 2.0, 'Max': 4.0}\""""}","{""conclusion"": ""0.58161""}","{""conclusion"": ""0.74548""}","{""conclusion"": ""0.58278""}"
Bank Customer Churn Prediction Dataset,HasCrCard,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""1.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Bank Customer Churn Prediction Dataset,IsActiveMember,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""1.0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,"{""conclusion"": ""100083.33114""}","{""conclusion"": ""100185.24""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""199980.9""}","{""conclusion"": ""\""{'Min': 11.58, 'Q1': 50983.75, 'Median': 100185.23999999999, 'Q3': 149383.6525, 'Max': 199992.48}\""""}","{""conclusion"": ""57505.2429""}","{""conclusion"": ""0.00232""}","{""conclusion"": ""-1.18145""}"
Bank Customer Churn Prediction Dataset,Exited,"{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""0""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""Not applicable""}"
Crop Production Dataset,Nigeria,"{""conclusion"": ""4.625""}","{""conclusion"": ""3.9""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""5.7""}","{""conclusion"": ""\""{'Min': 2.5, 'Q1': 3.0999999999999996, 'Median': 3.9, 'Q3': 5.425, 'Max': 8.2}\""""}","{""conclusion"": ""2.18332""}","{""conclusion"": ""1.40489""}","{""conclusion"": ""1.91529""}"
Crop Production Dataset,Pakistan,"{""conclusion"": ""6.925""}","{""conclusion"": ""7.2""}","{""conclusion"": ""Not applicable""}","{""conclusion"": ""3.5""}","{""conclusion"": ""\""{'Min': 4.9, 'Q1': 6.625, 'Median': 7.2, 'Q3': 7.5, 'Max': 8.4}\""""}","{""conclusion"": ""1.26763""}","{""conclusion"": ""-1.07421""}","{""conclusion"": ""2.15611""}"
