Dataset Name,Column 1,Column 2,Kolmogorov-Smirnov Test
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),"{""p value"": 0.00065, ""conclusion"": ""Distribution significantly different""}"
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,CreditScore,Age,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,CreditScore,Tenure,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,CreditScore,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,CreditScore,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,CreditScore,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Age,Tenure,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Age,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Age,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Tenure,Balance,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Tenure,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Balance,NumOfProducts,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}"
