Dataset Name,Column,Distribution,Kolmogorov-Smirnov Test
Advertising Budget and Sales Dataset,TV Ad Budget ($),Uniform,"{""p value"": 0.67083, ""conclusion"": ""Compliance""}"
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Uniform,"{""p value"": 0.29864, ""conclusion"": ""Compliance""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,Uniform,"{""p value"": 0.84811, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Nigeria,Uniform,"{""p value"": 0.44019, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Pakistan,Uniform,"{""p value"": 0.41493, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Japan,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}"
Crop Production Dataset,United States,Uniform,"{""p value"": 0.70499, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Philippines,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Myanmar,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Thailand,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Vietnam,Uniform,"{""p value"": 0.49821, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Indonesia,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}"
Crop Production Dataset,Bangladesh,Uniform,"{""p value"": 0.67606, ""conclusion"": ""Compliance""}"
Crop Production Dataset,India,Uniform,"{""p value"": 0.87982, ""conclusion"": ""Compliance""}"
Crop Production Dataset,China,Uniform,"{""p value"": 0.31466, ""conclusion"": ""Compliance""}"
Customer Personality Analysis Dataset,Recency,Uniform,"{""p value"": 0.3097, ""conclusion"": ""Compliance""}"
Exercise and Fitness Metrics Dataset,Calories Burn,Uniform,"{""p value"": 0.48904, ""conclusion"": ""Compliance""}"
Exercise and Fitness Metrics Dataset,Dream Weight,Uniform,"{""p value"": 0.57832, ""conclusion"": ""Compliance""}"
Exercise and Fitness Metrics Dataset,Heart Rate,Uniform,"{""p value"": 0.07183, ""conclusion"": ""Compliance""}"
Exercise and Fitness Metrics Dataset,BMI,Uniform,"{""p value"": 0.41909, ""conclusion"": ""Compliance""}"
Income and Happiness Score Dataset,GDP,Uniform,"{""p value"": 0.10726, ""conclusion"": ""Compliance""}"
Los Angeles Library Monthly Statistics,Total Library Visitors,Uniform,"{""p value"": 0.09749, ""conclusion"": ""Compliance""}"
Los Angeles Library Monthly Statistics,Total eMedia Circulation,Uniform,"{""p value"": 0.09344, ""conclusion"": ""Compliance""}"
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),Uniform,"{""p value"": 0.16129, ""conclusion"": ""Compliance""}"
Los Angeles Library Monthly Statistics,# of Homeless Individuals Served at The Source,Uniform,"{""p value"": 0.82272, ""conclusion"": ""Compliance""}"
Raman Ratings Dataset,Review #,Uniform,"{""p value"": 1.0, ""conclusion"": ""Compliance""}"
US Christmas Tree Sales Dataset,Number of trees sold,Uniform,"{""p value"": 0.77361, ""conclusion"": ""Compliance""}"
US Christmas Tree Sales Dataset,Average Tree Price,Uniform,"{""p value"": 0.20895, ""conclusion"": ""Compliance""}"
US Christmas Tree Sales Dataset,Sales,Uniform,"{""p value"": 0.05189, ""conclusion"": ""Compliance""}"
Video Games Sales Dataset,Rank,Uniform,"{""p value"": 1.0, ""conclusion"": ""Compliance""}"
