Dataset Name,Column 1,Column 2,Control Column,Partial Correlation Coefficient
2023 Netflix Engagement Dataset,Number of Ratings,Rating,Hours Viewed,"{""coefficient"": 0.11112, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
2023 Netflix Engagement Dataset,Rating,Number of Ratings,Hours Viewed,"{""coefficient"": 0.11037, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),TV Ad Budget ($),"{""coefficient"": 0.35209, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}"
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),TV Ad Budget ($),"{""coefficient"": 0.2958, ""p value"": 2e-05, ""conclusion"": ""Not strongly correlated""}"
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),TV Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.03988, ""p value"": 0.57599, ""conclusion"": ""Not strongly correlated""}"
Advertising Budget and Sales Dataset,Sales ($),Newspaper Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.03174, ""p value"": 0.65634, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Age,Balance,CreditScore,"{""coefficient"": 0.02835, ""p value"": 0.00458, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,CreditScore,"{""coefficient"": -0.00714, ""p value"": 0.47497, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Tenure,Balance,CreditScore,"{""coefficient"": -0.01229, ""p value"": 0.21922, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,CreditScore,"{""coefficient"": 0.00783, ""p value"": 0.43362, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Balance,Tenure,CreditScore,"{""coefficient"": -0.01229, ""p value"": 0.21922, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,CreditScore,"{""coefficient"": 0.01271, ""p value"": 0.20359, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,Tenure,CreditScore,"{""coefficient"": 0.01341, ""p value"": 0.17992, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,CreditScore,"{""coefficient"": 0.01431, ""p value"": 0.15243, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,Tenure,CreditScore,"{""coefficient"": 0.00783, ""p value"": 0.43362, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,NumOfProducts,CreditScore,"{""coefficient"": 0.01431, ""p value"": 0.15243, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Tenure,Balance,Age,"{""coefficient"": -0.01191, ""p value"": 0.23389, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,Age,"{""coefficient"": 0.00771, ""p value"": 0.44093, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Balance,Tenure,Age,"{""coefficient"": -0.01191, ""p value"": 0.23389, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,Age,"{""coefficient"": 0.01296, ""p value"": 0.19507, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,Tenure,Age,"{""coefficient"": 0.01302, ""p value"": 0.1929, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,Age,"{""coefficient"": 0.01403, ""p value"": 0.16052, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,Tenure,Age,"{""coefficient"": 0.00771, ""p value"": 0.44093, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,EstimatedSalary,NumOfProducts,Age,"{""coefficient"": 0.01403, ""p value"": 0.16052, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Balance,Age,Tenure,"{""coefficient"": 0.0282, ""p value"": 0.0048, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,Tenure,"{""coefficient"": 0.0128, ""p value"": 0.20051, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,Age,Tenure,"{""coefficient"": -0.03054, ""p value"": 0.00226, ""conclusion"": ""Not strongly correlated""}"
Bank Customer Churn Prediction Dataset,NumOfProducts,EstimatedSalary,Tenure,"{""coefficient"": 0.01419, ""p value"": 0.156, ""conclusion"": ""Not strongly correlated""}"
