Dataset Name,Column 1,Column 2,Control Column,Partial Correlation Coefficient
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),TV Ad Budget ($),"{""coefficient"": 0.85739, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}"
Advertising Budget and Sales Dataset,Sales ($),Radio Ad Budget ($),TV Ad Budget ($),"{""coefficient"": 0.85739, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}"
Advertising Budget and Sales Dataset,Sales ($),TV Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.79143, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Pakistan,Japan,Nigeria,"{""coefficient"": -0.75679, ""p value"": 0.45353, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Pakistan,Brazil,Nigeria,"{""coefficient"": 0.98159, ""p value"": 0.12236, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Pakistan,Myanmar,Nigeria,"{""coefficient"": 0.60026, ""p value"": 0.59013, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Pakistan,Vietnam,Nigeria,"{""coefficient"": 0.86303, ""p value"": 0.33713, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Pakistan,Bangladesh,Nigeria,"{""coefficient"": 0.69708, ""p value"": 0.50897, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Pakistan,China,Nigeria,"{""coefficient"": -0.95111, ""p value"": 0.19988, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,United States,Nigeria,"{""coefficient"": -0.9833, ""p value"": 0.11652, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,Philippines,Nigeria,"{""coefficient"": -0.98974, ""p value"": 0.09127, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,Thailand,Nigeria,"{""coefficient"": -0.99384, ""p value"": 0.07068, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,Indonesia,Nigeria,"{""coefficient"": -0.9951, ""p value"": 0.06303, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Japan,India,Nigeria,"{""coefficient"": -0.99089, ""p value"": 0.08601, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Pakistan,Nigeria,"{""coefficient"": 0.62518, ""p value"": 0.57005, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Brazil,Nigeria,"{""coefficient"": 0.76276, ""p value"": 0.44769, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Myanmar,Nigeria,"{""coefficient"": 0.9995, ""p value"": 0.02008, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,United States,Vietnam,Nigeria,"{""coefficient"": 0.93381, ""p value"": 0.23292, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,United States,Bangladesh,Nigeria,"{""coefficient"": 0.9954, ""p value"": 0.06108, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Pakistan,Nigeria,"{""coefficient"": 0.98159, ""p value"": 0.12236, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,United States,Nigeria,"{""coefficient"": 0.76276, ""p value"": 0.44769, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Myanmar,Nigeria,"{""coefficient"": 0.74198, ""p value"": 0.46777, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Vietnam,Nigeria,"{""coefficient"": 0.94363, ""p value"": 0.21477, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,Bangladesh,Nigeria,"{""coefficient"": 0.8212, ""p value"": 0.38661, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Brazil,China,Nigeria,"{""coefficient"": -0.8746, ""p value"": 0.32224, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Japan,Nigeria,"{""coefficient"": -0.98974, ""p value"": 0.09127, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Brazil,Nigeria,"{""coefficient"": 0.78779, ""p value"": 0.42245, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Philippines,Thailand,Nigeria,"{""coefficient"": 0.99948, ""p value"": 0.02059, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Philippines,Indonesia,Nigeria,"{""coefficient"": 0.99902, ""p value"": 0.02824, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Philippines,India,Nigeria,"{""coefficient"": 0.96148, ""p value"": 0.17728, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Japan,Nigeria,"{""coefficient"": -0.97707, ""p value"": 0.1366, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Brazil,Nigeria,"{""coefficient"": 0.74198, ""p value"": 0.46777, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Thailand,Nigeria,"{""coefficient"": 0.99464, ""p value"": 0.06592, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,Indonesia,Nigeria,"{""coefficient"": 0.99333, ""p value"": 0.07357, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Myanmar,India,Nigeria,"{""coefficient"": 0.93948, ""p value"": 0.22261, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Japan,Nigeria,"{""coefficient"": -0.99384, ""p value"": 0.07068, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Brazil,Nigeria,"{""coefficient"": 0.8073, ""p value"": 0.40186, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Myanmar,Nigeria,"{""coefficient"": 0.99464, ""p value"": 0.06592, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Thailand,Indonesia,Nigeria,"{""coefficient"": 0.99993, ""p value"": 0.00765, ""conclusion"": ""Strongly correlated""}"
Crop Production Dataset,Thailand,India,Nigeria,"{""coefficient"": 0.96986, ""p value"": 0.15669, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Japan,Nigeria,"{""coefficient"": -0.98333, ""p value"": 0.11641, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Brazil,Nigeria,"{""coefficient"": 0.94363, ""p value"": 0.21477, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Myanmar,Nigeria,"{""coefficient"": 0.92206, ""p value"": 0.25301, ""conclusion"": ""Not strongly correlated""}"
Crop Production Dataset,Vietnam,Indonesia,Nigeria,"{""coefficient"": 0.96054, ""p value"": 0.17944, ""conclusion"": ""Not strongly correlated""}"
