Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,question,difficulty
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""coefficient"": 0.00321, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00381, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00263, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Hours Viewed relate to Number of Ratings?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""coefficient"": 0.00321, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00381, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00263, ""conclusion"": ""Not strongly correlated""}",Are movements in Hours Viewed reflected similarly in Number of Ratings?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""coefficient"": 0.00321, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00381, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00263, ""conclusion"": ""Not strongly correlated""}",Is the connection between Hours Viewed and Number of Ratings strong?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""coefficient"": 0.00321, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00381, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00263, ""conclusion"": ""Not strongly correlated""}",Do Hours Viewed and Number of Ratings show any linear correlation?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""coefficient"": 0.00321, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00381, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00263, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Hours Viewed and Number of Ratings?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""coefficient"": 0.00937, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00467, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00322, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Hours Viewed and Rating?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""coefficient"": 0.00937, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00467, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00322, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Hours Viewed and Rating over time?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""coefficient"": 0.00937, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00467, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00322, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Hours Viewed similarly appear in Rating?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""coefficient"": 0.00937, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00467, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00322, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Hours Viewed and Rating?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""coefficient"": 0.00937, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00467, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00322, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Hours Viewed relate to Rating?,easy
