Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,question,difficulty
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""coefficient"": 0.78222, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.80061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62195, ""conclusion"": ""Strongly correlated""}",Do TV Ad Budget ($) and Sales ($) show any linear correlation?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""coefficient"": 0.78222, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.80061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62195, ""conclusion"": ""Strongly correlated""}",Are there any correlations between TV Ad Budget ($) and Sales ($) over time?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""coefficient"": 0.78222, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.80061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62195, ""conclusion"": ""Strongly correlated""}",Is there a correlation between TV Ad Budget ($) and Sales ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""coefficient"": 0.78222, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.80061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62195, ""conclusion"": ""Strongly correlated""}",Is there a linear relationship between TV Ad Budget ($) and Sales ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""coefficient"": 0.78222, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.80061, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62195, ""conclusion"": ""Strongly correlated""}",Do patterns observed in TV Ad Budget ($) similarly appear in Sales ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""coefficient"": 0.57622, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5543, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41945, ""conclusion"": ""Not strongly correlated""}",Are Radio Ad Budget ($) and Sales ($) correlated with each other in a linear manner?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""coefficient"": 0.57622, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5543, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41945, ""conclusion"": ""Not strongly correlated""}",Do Radio Ad Budget ($) and Sales ($) show any linear correlation?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""coefficient"": 0.57622, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5543, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41945, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Radio Ad Budget ($) similarly appear in Sales ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""coefficient"": 0.57622, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5543, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41945, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Radio Ad Budget ($) relate to Sales ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),"{""coefficient"": 0.57622, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5543, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41945, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Radio Ad Budget ($) and Sales ($) consistent?,easy
Customer Personality Analysis Dataset,Income,Kidhome,"{""coefficient"": -0.42867, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55991, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.45224, ""conclusion"": ""Not strongly correlated""}",Do Income and Kidhome show any linear correlation?,easy
Customer Personality Analysis Dataset,Income,Kidhome,"{""coefficient"": -0.42867, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55991, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.45224, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Income and Kidhome?,easy
Customer Personality Analysis Dataset,Income,Kidhome,"{""coefficient"": -0.42867, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55991, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.45224, ""conclusion"": ""Not strongly correlated""}",Are Income and Kidhome related in any way?,easy
Customer Personality Analysis Dataset,Income,Kidhome,"{""coefficient"": -0.42867, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55991, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.45224, ""conclusion"": ""Not strongly correlated""}",How closely do Income and Kidhome follow a straight-line relationship?,easy
Customer Personality Analysis Dataset,Income,Kidhome,"{""coefficient"": -0.42867, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.55991, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.45224, ""conclusion"": ""Not strongly correlated""}",How do changes in Income correlate with changes in Kidhome?,easy
Customer Personality Analysis Dataset,Income,MntWines,"{""coefficient"": 0.57865, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83006, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63261, ""conclusion"": ""Strongly correlated""}",Is there a linear relationship between Income and MntWines?,easy
Customer Personality Analysis Dataset,Income,MntWines,"{""coefficient"": 0.57865, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83006, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63261, ""conclusion"": ""Strongly correlated""}",Is there a correlation between Income and MntWines?,easy
Customer Personality Analysis Dataset,Income,MntWines,"{""coefficient"": 0.57865, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83006, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63261, ""conclusion"": ""Strongly correlated""}",Is the relationship between Income and MntWines consistent?,easy
Customer Personality Analysis Dataset,Income,MntWines,"{""coefficient"": 0.57865, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83006, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63261, ""conclusion"": ""Strongly correlated""}",How closely do Income and MntWines follow a straight-line relationship?,easy
Customer Personality Analysis Dataset,Income,MntWines,"{""coefficient"": 0.57865, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83006, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63261, ""conclusion"": ""Strongly correlated""}",Are Income and MntWines correlated with each other in a linear manner?,easy
Customer Personality Analysis Dataset,Income,MntFruits,"{""coefficient"": 0.43084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.58238, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39911, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Income and MntFruits?,easy
Customer Personality Analysis Dataset,Income,MntFruits,"{""coefficient"": 0.43084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.58238, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39911, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Income relate to MntFruits?,easy
Customer Personality Analysis Dataset,Income,MntFruits,"{""coefficient"": 0.43084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.58238, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39911, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Income and MntFruits?,easy
Customer Personality Analysis Dataset,Income,MntFruits,"{""coefficient"": 0.43084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.58238, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39911, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Income similarly appear in MntFruits?,easy
Customer Personality Analysis Dataset,Income,MntFruits,"{""coefficient"": 0.43084, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.58238, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39911, ""conclusion"": ""Not strongly correlated""}",Do changes in Income relate to changes in MntFruits?,easy
Customer Personality Analysis Dataset,Income,MntMeatProducts,"{""coefficient"": 0.58463, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81682, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61877, ""conclusion"": ""Strongly correlated""}",Is the relationship between Income and MntMeatProducts consistent?,easy
