Dataset Name,Column,Method,Results,question,difficulty
2023 Netflix Engagement Dataset,Available Globally?,Mode,"{""conclusion"": ""No""}",What is the most frequent value in Available Globally??,easy
2023 Netflix Engagement Dataset,Available Globally?,Mode,"{""conclusion"": ""No""}",Can you find the mode of Available Globally??,easy
2023 Netflix Engagement Dataset,Hours Viewed,Mean,"{""conclusion"": ""9142651.55604""}",What's the mean value of Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Mean,"{""conclusion"": ""9142651.55604""}",How do you find the average in Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Median,"{""conclusion"": ""1800000.0""}",How to compute the median of Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Median,"{""conclusion"": ""1800000.0""}",What number represents the median of Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Range,"{""conclusion"": ""812100000.0""}",What's the interval between the highest and lowest points of Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Range,"{""conclusion"": ""812100000.0""}",What is the scale of variation for Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 200000.0, 'Median': 1800000.0, 'Q3': 7000000.0, 'Max': 812100000.0}\""""}",What's the quartile distribution for the data in Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 200000.0, 'Median': 1800000.0, 'Q3': 7000000.0, 'Max': 812100000.0}\""""}",Could you show the quartile segmentation of Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Standard Deviation,"{""conclusion"": ""30186588.35385""}",Could you find the standard deviation value of Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Standard Deviation,"{""conclusion"": ""30186588.35385""}",Can you calculate the standard deviation for Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Skewness,"{""conclusion"": ""11.99362""}",What is the skewness value for Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Skewness,"{""conclusion"": ""11.99362""}",Does Hours Viewed show any skewness in its distribution?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Kurtosis,"{""conclusion"": ""217.52997""}",Can you calculate the kurtosis for Hours Viewed?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Kurtosis,"{""conclusion"": ""217.52997""}",What is the degree of peaked for Hours Viewed?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Mean,"{""conclusion"": ""20865.9058""}",Can you calculate the mean for Number of Ratings?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Mean,"{""conclusion"": ""20865.9058""}",What does the mean of Number of Ratings indicate?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Median,"{""conclusion"": ""2358.0""}",What falls in the middle of Number of Ratings?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Median,"{""conclusion"": ""2358.0""}",Could you determine the median figure of Number of Ratings?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Range,"{""conclusion"": ""1937634.0""}",Can you calculate the total span of Number of Ratings?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Range,"{""conclusion"": ""1937634.0""}",What's the extent of variation in Number of Ratings?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Quartile,"{""conclusion"": ""\""{'Min': 5.0, 'Q1': 318.0, 'Median': 2358.0, 'Q3': 11349.0, 'Max': 1937639.0}\""""}",How do the values in Number of Ratings spread in terms of quartiles?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Quartile,"{""conclusion"": ""\""{'Min': 5.0, 'Q1': 318.0, 'Median': 2358.0, 'Q3': 11349.0, 'Max': 1937639.0}\""""}",Can you determine the quartile breakdown for Number of Ratings?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Standard Deviation,"{""conclusion"": ""83524.60367""}","What is the variance measure for Number of Ratings, as indicated by its standard deviation?",easy
2023 Netflix Engagement Dataset,Number of Ratings,Standard Deviation,"{""conclusion"": ""83524.60367""}","How spread out are the values in Number of Ratings, in terms of standard deviation?",easy
2023 Netflix Engagement Dataset,Number of Ratings,Skewness,"{""conclusion"": ""10.9534""}",How does the asymmetry of Number of Ratings?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Skewness,"{""conclusion"": ""10.9534""}",Can you determine the skewness level for Number of Ratings?,easy
