Dataset Name,Column 1,Column 2,Kolmogorov-Smirnov Test,question,difficulty
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Nigeria and Pakistan statistically indistinguishable?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Nigeria versus Pakistan?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Nigeria and Pakistan?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Nigeria and Pakistan closely aligned?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How similar are the distribution of Nigeria and Pakistan?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Nigeria and Pakistan?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Nigeria and United States?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Nigeria versus United States?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Nigeria and United States closely aligned?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Nigeria and United States compare?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Nigeria and United States?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do Nigeria and United States follow the similar distribution curve?,medium
Crop Production Dataset,Nigeria,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Nigeria versus Brazil?,medium
