Dataset Name,Column 1,Column 2,Kolmogorov-Smirnov Test,question,difficulty
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Is there a statistically significant difference in the data distribution of Hours Viewed compared to Number of Ratings?,medium
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of Hours Viewed and Number of Ratings?,medium
2023 Netflix Engagement Dataset,Hours Viewed,Number of Ratings,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do Hours Viewed and Number of Ratings follow the similar distribution curve?,medium
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do Hours Viewed and Rating follow the similar distribution curve?,medium
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Hours Viewed and Rating?,medium
2023 Netflix Engagement Dataset,Hours Viewed,Rating,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are there observable differences in the distribution shapes of Hours Viewed and Rating?,medium
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How do the cumulative distributions of Number of Ratings and Rating compare?,medium
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of Number of Ratings and Rating closely aligned?,medium
2023 Netflix Engagement Dataset,Number of Ratings,Rating,"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Number of Ratings and Rating?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of TV Ad Budget ($) and Radio Ad Budget ($) similar?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of TV Ad Budget ($) and Radio Ad Budget ($) differ significantly?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Radio Ad Budget ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Is there a statistically significant difference in the data distribution of TV Ad Budget ($) compared to Radio Ad Budget ($)?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",How similar are the distribution of TV Ad Budget ($) and Newspaper Ad Budget ($)?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",What is the extent of distributional similarity of TV Ad Budget ($) and Newspaper Ad Budget ($)?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Newspaper Ad Budget ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the distributions of TV Ad Budget ($) and Newspaper Ad Budget ($) similar?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Are the data distributions in TV Ad Budget ($) and Sales ($) statistically indistinguishable?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Can we infer distributional equivalence of TV Ad Budget ($) and Sales ($)?,medium
Advertising Budget and Sales Dataset,TV Ad Budget ($),Sales ($),"{""p value"": 0.0, ""conclusion"": ""Distribution significantly different""}",Do the distribution profiles of TV Ad Budget ($) and Sales ($) differ significantly?,medium
