Dataset Name,Column,Distribution,Kolmogorov-Smirnov Test,question,difficulty
Advertising Budget and Sales Dataset,TV Ad Budget ($),Uniform,"{""p value"": 0.67083, ""conclusion"": ""Compliance""}",Is it a Uniform distribution that TV Ad Budget ($) data follows?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Uniform,"{""p value"": 0.67083, ""conclusion"": ""Compliance""}",Could the Uniform distribution serve as an accurate representation for TV Ad Budget ($) data?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Uniform,"{""p value"": 0.67083, ""conclusion"": ""Compliance""}",Does TV Ad Budget ($) reflect the properties of a Uniform distribution?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Uniform,"{""p value"": 0.67083, ""conclusion"": ""Compliance""}",Can we confirm the Uniform distribution hypothesis for TV Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,TV Ad Budget ($),Uniform,"{""p value"": 0.67083, ""conclusion"": ""Compliance""}",Could it be proper to say that TV Ad Budget ($) data presents a Uniform distribution?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Uniform,"{""p value"": 0.29864, ""conclusion"": ""Compliance""}",Is it possible for Radio Ad Budget ($) data to have been drawn from a Uniform distribution?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Uniform,"{""p value"": 0.29864, ""conclusion"": ""Compliance""}",Does Radio Ad Budget ($) reflect the properties of a Uniform distribution?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Uniform,"{""p value"": 0.29864, ""conclusion"": ""Compliance""}",Can we confirm the Uniform distribution hypothesis for Radio Ad Budget ($)?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Uniform,"{""p value"": 0.29864, ""conclusion"": ""Compliance""}",Does the data distribution of Radio Ad Budget ($) comply with the Uniform model?,easy
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Uniform,"{""p value"": 0.29864, ""conclusion"": ""Compliance""}",Whether the data of Radio Ad Budget ($) is subject to Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Uniform,"{""p value"": 0.84811, ""conclusion"": ""Compliance""}",Is the observed distribution of EstimatedSalary similar to a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Uniform,"{""p value"": 0.84811, ""conclusion"": ""Compliance""}","Based on the statistical test, can we consider EstimatedSalary to exhibit a Uniform distribution?",easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Uniform,"{""p value"": 0.84811, ""conclusion"": ""Compliance""}",Could it be proper to say that EstimatedSalary data presents a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Uniform,"{""p value"": 0.84811, ""conclusion"": ""Compliance""}",Does it proper to model the data of EstimatedSalary by a Uniform distribution?,easy
Bank Customer Churn Prediction Dataset,EstimatedSalary,Uniform,"{""p value"": 0.84811, ""conclusion"": ""Compliance""}",Does EstimatedSalary reflect the properties of a Uniform distribution?,easy
Crop Production Dataset,Nigeria,Uniform,"{""p value"": 0.44019, ""conclusion"": ""Compliance""}",Can we confirm the Uniform distribution hypothesis for Nigeria?,easy
Crop Production Dataset,Nigeria,Uniform,"{""p value"": 0.44019, ""conclusion"": ""Compliance""}",Is Nigeria demonstrating as Uniform distribution?Is the Uniform distribution a good fit for Nigeria data?,easy
Crop Production Dataset,Nigeria,Uniform,"{""p value"": 0.44019, ""conclusion"": ""Compliance""}",Is the observed distribution of Nigeria similar to a Uniform distribution?,easy
Crop Production Dataset,Nigeria,Uniform,"{""p value"": 0.44019, ""conclusion"": ""Compliance""}",Does Nigeria reflect the properties of a Uniform distribution?,easy
Crop Production Dataset,Nigeria,Uniform,"{""p value"": 0.44019, ""conclusion"": ""Compliance""}",Is the distribution of data values in Nigeria consistent with a Uniform distribution?,easy
Crop Production Dataset,Pakistan,Uniform,"{""p value"": 0.41493, ""conclusion"": ""Compliance""}",Whether the data of Pakistan is subject to Uniform distribution?,easy
Crop Production Dataset,Pakistan,Uniform,"{""p value"": 0.41493, ""conclusion"": ""Compliance""}",Does Pakistan reflect the properties of a Uniform distribution?,easy
Crop Production Dataset,Pakistan,Uniform,"{""p value"": 0.41493, ""conclusion"": ""Compliance""}",Does the pattern of Pakistan resemble a Uniform distribution?,easy
Crop Production Dataset,Pakistan,Uniform,"{""p value"": 0.41493, ""conclusion"": ""Compliance""}",Does it proper to model the data of Pakistan by a Uniform distribution?,easy
Crop Production Dataset,Pakistan,Uniform,"{""p value"": 0.41493, ""conclusion"": ""Compliance""}",Do the data in Pakistan exhibit a Uniform distribution?,easy
Crop Production Dataset,Japan,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}",Do the data in Japan exhibit a Uniform distribution?,easy
Crop Production Dataset,Japan,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}",Is the observed distribution of Japan similar to a Uniform distribution?,easy
Crop Production Dataset,Japan,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}",Is it a Uniform distribution that Japan data follows?,easy
Crop Production Dataset,Japan,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}",Is the distribution of data values in Japan consistent with a Uniform distribution?,easy
Crop Production Dataset,Japan,Uniform,"{""p value"": 0.90625, ""conclusion"": ""Compliance""}",Does it proper to model the data of Japan by a Uniform distribution?,easy
Crop Production Dataset,United States,Uniform,"{""p value"": 0.70499, ""conclusion"": ""Compliance""}",Is it possible for United States data to have been drawn from a Uniform distribution?,easy
Crop Production Dataset,United States,Uniform,"{""p value"": 0.70499, ""conclusion"": ""Compliance""}",Is United States demonstrating as Uniform distribution?Is the Uniform distribution a good fit for United States data?,easy
