Dataset Name,Column,Distribution,Kolmogorov-Smirnov Test,question,difficulty
2023 Netflix Engagement Dataset,Hours Viewed,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of Hours Viewed comply with the Exponential model?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Exponential distribution that Hours Viewed data follows?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Exponential distribution of the Hours Viewed data?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Whether the data of Number of Ratings is subject to Exponential distribution?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it possible for Number of Ratings data to have been drawn from a Exponential distribution?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Do the data in Number of Ratings exhibit a Exponential distribution?,easy
2023 Netflix Engagement Dataset,Rating,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Could the Exponential distribution serve as an accurate representation for Rating data?,easy
2023 Netflix Engagement Dataset,Rating,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the observed distribution of Rating similar to a Exponential distribution?,easy
2023 Netflix Engagement Dataset,Rating,Exponential,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is it a Exponential distribution that Rating data follows?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does statistical analysis suggest a Uniform distribution of the Hours Viewed data?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of Hours Viewed comply with the Uniform model?,easy
2023 Netflix Engagement Dataset,Hours Viewed,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Hours Viewed consistent with a Uniform distribution?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the data distribution of Number of Ratings comply with the Uniform model?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Does the pattern of Number of Ratings resemble a Uniform distribution?,easy
2023 Netflix Engagement Dataset,Number of Ratings,Uniform,"{""p value"": 0.0, ""conclusion"": ""Non-compliance""}",Is the distribution of data values in Number of Ratings consistent with a Uniform distribution?,easy
