Dataset Name,Column 1,Column 2,Control Column,Partial Correlation Coefficient,question,difficulty
2023 Netflix Engagement Dataset,Number of Ratings,Rating,Hours Viewed,"{""coefficient"": 0.11112, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",What is the nature of the relationship between Number of Ratings and Rating after Hours Viewed is considered?,medium
2023 Netflix Engagement Dataset,Rating,Number of Ratings,Hours Viewed,"{""coefficient"": 0.11037, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}",How does the relationship between Rating and Number of Ratings manifest when isolating Hours Viewed?,medium
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Newspaper Ad Budget ($),TV Ad Budget ($),"{""coefficient"": 0.35209, ""p value"": 0.0, ""conclusion"": ""Not strongly correlated""}","After minimizing the influence of TV Ad Budget ($), what correlation exists between Radio Ad Budget ($) and Newspaper Ad Budget ($)?",medium
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),Sales ($),TV Ad Budget ($),"{""coefficient"": 0.2958, ""p value"": 2e-05, ""conclusion"": ""Not strongly correlated""}",How does Newspaper Ad Budget ($) correlate with Sales ($) when TV Ad Budget ($) is held constant?,medium
Advertising Budget and Sales Dataset,Newspaper Ad Budget ($),TV Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.03988, ""p value"": 0.57599, ""conclusion"": ""Not strongly correlated""}",What is the partial correlation between Newspaper Ad Budget ($) and TV Ad Budget ($) considering Radio Ad Budget ($)?,medium
Advertising Budget and Sales Dataset,Sales ($),Newspaper Ad Budget ($),Radio Ad Budget ($),"{""coefficient"": 0.03174, ""p value"": 0.65634, ""conclusion"": ""Not strongly correlated""}",How does Sales ($) correlate with Newspaper Ad Budget ($) when Radio Ad Budget ($) is held constant?,medium
Bank Customer Churn Prediction Dataset,Age,Balance,CreditScore,"{""coefficient"": 0.02835, ""p value"": 0.00458, ""conclusion"": ""Not strongly correlated""}","After neutralizing the effect of CreditScore, how do Age and Balance relate to each other?",medium
Bank Customer Churn Prediction Dataset,Age,EstimatedSalary,CreditScore,"{""coefficient"": -0.00714, ""p value"": 0.47497, ""conclusion"": ""Not strongly correlated""}",How does the relationship between Age and EstimatedSalary manifest when isolating CreditScore?,medium
Bank Customer Churn Prediction Dataset,Tenure,Balance,CreditScore,"{""coefficient"": -0.01229, ""p value"": 0.21922, ""conclusion"": ""Not strongly correlated""}",What is the impact of Tenure on Balance with CreditScore taken into consideration?,medium
Bank Customer Churn Prediction Dataset,Tenure,EstimatedSalary,CreditScore,"{""coefficient"": 0.00783, ""p value"": 0.43362, ""conclusion"": ""Not strongly correlated""}","With the influence of CreditScore removed, how are Tenure and EstimatedSalary related?",medium
Bank Customer Churn Prediction Dataset,Balance,Tenure,CreditScore,"{""coefficient"": -0.01229, ""p value"": 0.21922, ""conclusion"": ""Not strongly correlated""}","After controlling for CreditScore, what is the relationship between Balance and Tenure?",medium
Bank Customer Churn Prediction Dataset,Balance,EstimatedSalary,CreditScore,"{""coefficient"": 0.01271, ""p value"": 0.20359, ""conclusion"": ""Not strongly correlated""}","After minimizing the influence of CreditScore, what correlation exists between Balance and EstimatedSalary?",medium
