Dataset Name,Column 1,Column 2,Control Column,Partial Correlation Coefficient,question,difficulty
Advertising Budget and Sales Dataset,Radio Ad Budget ($),Sales ($),TV Ad Budget ($),"{""coefficient"": 0.85739, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After controlling for TV Ad Budget ($), what is the relationship between Radio Ad Budget ($) and Sales ($)?",medium
Advertising Budget and Sales Dataset,Sales ($),Radio Ad Budget ($),TV Ad Budget ($),"{""coefficient"": 0.85739, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What connection exists between Sales ($) and Radio Ad Budget ($) upon controlling for TV Ad Budget ($)?,medium
Advertising Budget and Sales Dataset,Sales ($),TV Ad Budget ($),Newspaper Ad Budget ($),"{""coefficient"": 0.79143, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between Sales ($) and TV Ad Budget ($) considering Newspaper Ad Budget ($)?,medium
Customer Personality Analysis Dataset,MntFruits,Z_Revenue,Income,"{""coefficient"": -1.0, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After Income is controlled for, what remains the relationship between MntFruits and Z_Revenue?",medium
Customer Personality Analysis Dataset,MntMeatProducts,Z_CostContact,Income,"{""coefficient"": -1.0, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between MntMeatProducts and Z_CostContact after Income is considered?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntMeatProducts,Income,"{""coefficient"": 0.59444, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the impact of NumCatalogPurchases on MntMeatProducts with Income taken into consideration?,medium
Customer Personality Analysis Dataset,MntWines,NumStorePurchases,Kidhome,"{""coefficient"": 0.52408, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the partial correlation between MntWines and NumStorePurchases considering Kidhome?,medium
Customer Personality Analysis Dataset,MntMeatProducts,NumCatalogPurchases,Kidhome,"{""coefficient"": 0.6484, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does MntMeatProducts correlate with NumCatalogPurchases when Kidhome is held constant?,medium
Customer Personality Analysis Dataset,MntFishProducts,MntSweetProducts,Kidhome,"{""coefficient"": 0.50947, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does MntFishProducts correlate with MntSweetProducts when Kidhome is held constant?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntWines,Kidhome,"{""coefficient"": 0.51413, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between NumCatalogPurchases and MntWines when controlling for Kidhome?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Z_CostContact,Kidhome,"{""coefficient"": -0.51513, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between NumCatalogPurchases and Z_CostContact when controlling for Kidhome?,medium
Customer Personality Analysis Dataset,NumStorePurchases,MntWines,Kidhome,"{""coefficient"": 0.52408, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",How does controlling for Kidhome change the relationship between NumStorePurchases and MntWines?,medium
Customer Personality Analysis Dataset,MntWines,MntMeatProducts,Teenhome,"{""coefficient"": 0.58421, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After Teenhome is controlled for, what remains the relationship between MntWines and MntMeatProducts?",medium
Customer Personality Analysis Dataset,MntWines,NumCatalogPurchases,Teenhome,"{""coefficient"": 0.63971, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",Is there a significant link between MntWines and NumCatalogPurchases when controlling for Teenhome?,medium
Customer Personality Analysis Dataset,MntFruits,MntMeatProducts,Teenhome,"{""coefficient"": 0.52304, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the impact of MntFruits on MntMeatProducts with Teenhome taken into consideration?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,Teenhome,"{""coefficient"": 0.55443, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After factoring in Teenhome, how do MntFruits and MntSweetProducts interact?",medium
Customer Personality Analysis Dataset,MntMeatProducts,MntWines,Teenhome,"{""coefficient"": 0.58421, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With Teenhome controlled, what is the correlation strength between MntMeatProducts and MntWines?",medium
Customer Personality Analysis Dataset,MntMeatProducts,MntFishProducts,Teenhome,"{""coefficient"": 0.54508, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After Teenhome is controlled for, what remains the relationship between MntMeatProducts and MntFishProducts?",medium
Customer Personality Analysis Dataset,MntMeatProducts,NumCatalogPurchases,Teenhome,"{""coefficient"": 0.72434, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After controlling for Teenhome, what is the relationship between MntMeatProducts and NumCatalogPurchases?",medium
Customer Personality Analysis Dataset,MntMeatProducts,NumWebVisitsMonth,Teenhome,"{""coefficient"": -0.52719, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What connection exists between MntMeatProducts and NumWebVisitsMonth upon controlling for Teenhome?,medium
Customer Personality Analysis Dataset,MntFishProducts,MntMeatProducts,Teenhome,"{""coefficient"": 0.54508, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","When Teenhome is fixed, how do MntFishProducts and MntMeatProducts correlate?",medium
Customer Personality Analysis Dataset,MntFishProducts,NumCatalogPurchases,Teenhome,"{""coefficient"": 0.52611, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","With the influence of Teenhome removed, how are MntFishProducts and NumCatalogPurchases related?",medium
Customer Personality Analysis Dataset,MntSweetProducts,MntMeatProducts,Teenhome,"{""coefficient"": 0.50544, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","After minimizing the influence of Teenhome, what correlation exists between MntSweetProducts and MntMeatProducts?",medium
Customer Personality Analysis Dataset,NumWebPurchases,MntWines,Teenhome,"{""coefficient"": 0.54819, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between NumWebPurchases and MntWines after Teenhome is considered?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,Income,Teenhome,"{""coefficient"": 0.59522, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}","When Teenhome is fixed, how do NumCatalogPurchases and Income correlate?",medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntWines,Teenhome,"{""coefficient"": 0.63971, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between NumCatalogPurchases and MntWines after Teenhome is considered?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,MntFishProducts,Teenhome,"{""coefficient"": 0.52611, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the impact of NumCatalogPurchases on MntFishProducts with Teenhome taken into consideration?,medium
Customer Personality Analysis Dataset,NumCatalogPurchases,NumWebVisitsMonth,Teenhome,"{""coefficient"": -0.51324, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between NumCatalogPurchases and NumWebVisitsMonth after Teenhome is considered?,medium
Customer Personality Analysis Dataset,NumStorePurchases,MntWines,Teenhome,"{""coefficient"": 0.64269, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the nature of the relationship between NumStorePurchases and MntWines after Teenhome is considered?,medium
Customer Personality Analysis Dataset,NumStorePurchases,NumWebPurchases,Teenhome,"{""coefficient"": 0.50157, ""p value"": 0.0, ""conclusion"": ""Strongly correlated""}",What is the impact of NumStorePurchases on NumWebPurchases with Teenhome taken into consideration?,medium
