productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Strawberries,2019/5/19,$1.16 ,$2.23 ,$1.70 ,$1.99 ,$2.54 ,82.33%
Romaine Lettuce,2019/5/19,$0.35 ,$1.72 ,$2.00 ,$1.69 ,$1.99 ,428.57%
Red Leaf Lettuce,2019/5/19,$0.32 ,$1.84 ,$1.84 ,$1.69 ,$1.89 ,467.19%
Potatoes,2019/5/19,$1.50 ,$5.32 ,$5.14 ,$3.99 ,$6.22 ,244.50%
Oranges,2019/5/19,$0.41 ,$1.42 ,$1.45 ,$1.34 ,$2.05 ,281.71%
Iceberg Lettuce,2019/5/19,$0.35 ,$1.39 ,$1.46 ,$1.69 ,$1.56 ,335.71%
Green Leaf Lettuce,2019/5/19,$0.31 ,$1.72 ,$1.70 ,$1.69 ,$1.71 ,450.00%
Celery,2019/5/19,$2.83 ,$1.89 ,$2.36 ,$2.52 ,$2.49 ,-18.20%
Cauliflower,2019/5/19,$1.22 ,$3.24 ,$4.35 ,$4.03 ,$2.97 ,198.98%
Carrots,2019/5/19,$0.24 ,$0.95 ,$0.95 ,$0.99 ,$1.22 ,328.13%
Cantaloupe,2019/5/19,$1.25 ,$2.34 ,$2.87 ,$2.87 ,$2.94 ,120.40%
Broccoli Crowns,2019/5/19,$0.73 ,$1.49 ,$1.80 ,$1.99 ,$1.99 ,148.97%
Avocados,2019/5/19,$1.23 ,$1.16 ,$1.82 ,$1.75 ,$1.69 ,30.49%
Strawberries,2019/5/12,$0.91 ,$2.67 ,$1.89 ,$2.47 ,$2.66 ,166.21%
Romaine Lettuce,2019/5/12,$0.36 ,$1.74 ,$2.00 ,$1.69 ,$1.99 ,415.28%
Red Leaf Lettuce,2019/5/12,$0.34 ,$1.84 ,$1.75 ,$1.69 ,$1.75 ,416.91%
Potatoes,2019/5/12,$1.50 ,$5.07 ,$5.14 ,$3.99 ,$6.22 ,240.33%
Oranges,2019/5/12,$0.41 ,$1.42 ,$1.55 ,$1.31 ,$1.90 ,276.83%
Iceberg Lettuce,2019/5/12,$0.36 ,$1.44 ,$1.46 ,$1.69 ,$1.49 ,322.22%
Green Leaf Lettuce,2019/5/12,$0.35 ,$1.72 ,$1.70 ,$1.69 ,$1.71 ,387.14%
Celery,2019/5/12,$2.84 ,$1.65 ,$2.36 ,$2.52 ,$2.24 ,-22.80%
Cauliflower,2019/5/12,$2.74 ,$3.24 ,$4.35 ,$3.98 ,$3.48 ,37.32%
Carrots,2019/5/12,$0.30 ,$0.95 ,$0.96 ,$0.99 ,$1.22 ,243.33%
Cantaloupe,2019/5/12,$1.41 ,$2.47 ,$2.91 ,$2.75 ,$3.11 ,99.29%
Broccoli Crowns,2019/5/12,$0.81 ,$1.65 ,$1.72 ,$1.99 ,$2.10 ,130.25%
Broccoli Bunches,2019/5/12,$1.09 ,$1.48 ,$2.11 ,$1.16 ,$1.48 ,42.89%
Avocados,2019/5/12,$1.23 ,$1.12 ,$1.49 ,$1.75 ,$1.69 ,22.97%
Strawberries,2019/5/5,$0.58 ,$2.42 ,$1.89 ,$2.12 ,$2.91 ,302.59%
Romaine Lettuce,2019/5/5,$0.36 ,$1.89 ,$2.00 ,$1.69 ,$1.99 ,425.69%
Red Leaf Lettuce,2019/5/5,$0.34 ,$1.84 ,$1.73 ,$1.69 ,$2.12 ,442.65%
Potatoes,2019/5/5,$1.60 ,$5.07 ,$5.14 ,$3.99 ,$6.22 ,219.06%
Oranges,2019/5/5,$0.41 ,$1.42 ,$1.53 ,$1.17 ,$1.78 ,259.76%
Iceberg Lettuce,2019/5/5,$0.38 ,$1.44 ,$1.46 ,$1.69 ,$1.31 ,288.16%
Green Leaf Lettuce,2019/5/5,$0.34 ,$1.84 ,$1.71 ,$1.69 ,$1.85 ,421.32%
Celery,2019/5/5,$2.46 ,$1.82 ,$2.06 ,$2.52 ,$2.24 ,-12.20%
Cauliflower,2019/5/5,$3.33 ,$3.41 ,$4.36 ,$4.03 ,$3.23 ,12.84%
Carrots,2019/5/5,$0.30 ,$0.99 ,$0.95 ,$0.99 ,$1.22 ,245.83%
Broccoli Crowns,2019/5/5,$0.93 ,$1.65 ,$1.67 ,$1.99 ,$1.61 ,86.02%
Avocados,2019/5/5,$1.01 ,$1.25 ,$1.57 ,$1.69 ,$1.69 ,53.47%
Strawberries,2019/4/28,$0.58 ,$2.79 ,$1.95 ,$2.38 ,$2.96 ,334.48%
Romaine Lettuce,2019/4/28,$0.39 ,$1.89 ,$2.00 ,$1.69 ,$1.86 ,376.92%
Red Leaf Lettuce,2019/4/28,$0.38 ,$1.69 ,$1.75 ,$1.84 ,$1.86 ,369.74%
Potatoes,2019/4/28,$1.60 ,$4.97 ,$5.14 ,$3.99 ,$6.22 ,217.50%
Oranges,2019/4/28,$0.41 ,$1.47 ,$1.47 ,$1.17 ,$1.99 ,271.95%
Iceberg Lettuce,2019/4/28,$0.35 ,$1.44 ,$1.56 ,$1.84 ,$1.56 ,357.14%
Green Leaf Lettuce,2019/4/28,$0.35 ,$1.84 ,$1.70 ,$1.84 ,$2.07 ,432.14%
Celery,2019/4/28,$2.63 ,$1.82 ,$2.36 ,$2.59 ,$2.24 ,-14.35%
Cauliflower,2019/4/28,$3.23 ,$3.41 ,$3.43 ,$3.88 ,$3.35 ,8.90%
