ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5524,1957,Graduation,Single,58138.0,0.0,0.0,04-09-2012,58.0,635,88.0,546,172.0,88.0,88.0,3.0,8.0,10.0,4.0,7.0,0,0,0,0,0,0,3.0,11.0,1
2174,1954,Graduation,Single,46344.0,1.0,1.0,08-03-2014,38.0,11,1.0,6,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,0,0,0,0,0,0,3.0,11.0,0
4141,1965,Graduation,Together,71613.0,0.0,0.0,21-08-2013,26.0,426,49.0,127,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,0,0,0,0,0,0,3.0,11.0,0
6182,1984,Graduation,Together,26646.0,1.0,0.0,10-02-2014,26.0,11,4.0,20,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0,0,0,0,0,0,3.0,11.0,0
5324,1981,PhD,Married,58293.0,1.0,0.0,19-01-2014,94.0,173,43.0,118,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,0,0,0,0,0,0,3.0,11.0,0
7446,1967,Master,Together,62513.0,0.0,1.0,09-09-2013,16.0,520,42.0,98,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,0,0,0,0,0,0,3.0,11.0,0
965,1971,Graduation,Divorced,55635.0,0.0,1.0,13-11-2012,34.0,235,65.0,164,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,0,0,0,0,0,0,3.0,11.0,0
6177,1985,PhD,Married,33454.0,1.0,0.0,08-05-2013,32.0,76,10.0,56,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0,0,0,0,0,0,3.0,11.0,0
4855,1974,PhD,Together,30351.0,1.0,0.0,06-06-2013,19.0,14,0.0,24,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,0,0,0,0,0,0,3.0,11.0,1
5899,1950,PhD,Together,5648.0,1.0,1.0,13-03-2014,68.0,28,0.0,6,1.0,1.0,13.0,1.0,1.0,0.0,0.0,20.0,1,0,0,0,0,0,3.0,11.0,0
