productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Strawberries,2019/5/19,1.16,2.23,1.7,1.99,2.54,0.8233
Romaine Lettuce,2019/5/19,0.35,1.72,2.0,1.69,1.99,4.2857
Red Leaf Lettuce,2019/5/19,0.32,1.84,1.84,1.69,1.89,4.6719
Potatoes,2019/5/19,1.5,5.32,5.14,3.99,6.22,2.445
Oranges,2019/5/19,0.41,1.42,1.45,1.34,2.05,2.8171
Iceberg Lettuce,2019/5/19,0.35,1.39,1.46,1.69,1.56,3.3571
Green Leaf Lettuce,2019/5/19,0.31,1.72,1.7,1.69,1.71,4.5
Celery,2019/5/19,2.83,1.89,2.36,2.52,2.49,-0.182
Cauliflower,2019/5/19,1.22,3.24,4.35,4.03,2.97,1.9898
Carrots,2019/5/19,0.24,0.95,0.95,0.99,1.22,3.2813
Cantaloupe,2019/5/19,1.25,2.34,2.87,2.87,2.94,1.2040000000000002
Broccoli Crowns,2019/5/19,0.73,1.49,1.8,1.99,1.99,1.4897
Avocados,2019/5/19,1.23,1.16,1.82,1.75,1.69,0.3049
Strawberries,2019/5/12,0.91,2.67,1.89,2.47,2.66,1.6621000000000001
Romaine Lettuce,2019/5/12,0.36,1.74,2.0,1.69,1.99,4.1528
Red Leaf Lettuce,2019/5/12,0.34,1.84,1.75,1.69,1.75,4.1691
Potatoes,2019/5/12,1.5,5.07,5.14,3.99,6.22,2.4033
Oranges,2019/5/12,0.41,1.42,1.55,1.31,1.9,2.7683
Iceberg Lettuce,2019/5/12,0.36,1.44,1.46,1.69,1.49,3.2222000000000004
Green Leaf Lettuce,2019/5/12,0.35,1.72,1.7,1.69,1.71,3.8714
Celery,2019/5/12,2.84,1.65,2.36,2.52,2.24,-0.228
Cauliflower,2019/5/12,2.74,3.24,4.35,3.98,3.48,0.37320000000000003
Carrots,2019/5/12,0.3,0.95,0.96,0.99,1.22,2.4333
Cantaloupe,2019/5/12,1.41,2.47,2.91,2.75,3.11,0.9929000000000001
Broccoli Crowns,2019/5/12,0.81,1.65,1.72,1.99,2.1,1.3025
Broccoli Bunches,2019/5/12,1.09,1.48,2.11,1.16,1.48,0.4289
Avocados,2019/5/12,1.23,1.12,1.49,1.75,1.69,0.2297
Strawberries,2019/5/5,0.58,2.42,1.89,2.12,2.91,3.0259
Romaine Lettuce,2019/5/5,0.36,1.89,2.0,1.69,1.99,4.2569
Red Leaf Lettuce,2019/5/5,0.34,1.84,1.73,1.69,2.12,4.4265
Potatoes,2019/5/5,1.6,5.07,5.14,3.99,6.22,2.1906
Oranges,2019/5/5,0.41,1.42,1.53,1.17,1.78,2.5976
Iceberg Lettuce,2019/5/5,0.38,1.44,1.46,1.69,1.31,2.8816
Green Leaf Lettuce,2019/5/5,0.34,1.84,1.71,1.69,1.85,4.2132
Celery,2019/5/5,2.46,1.82,2.06,2.52,2.24,-0.122
Cauliflower,2019/5/5,3.33,3.41,4.36,4.03,3.23,0.12840000000000001
Carrots,2019/5/5,0.3,0.99,0.95,0.99,1.22,2.4583000000000004
Broccoli Crowns,2019/5/5,0.93,1.65,1.67,1.99,1.61,0.8602
Avocados,2019/5/5,1.01,1.25,1.57,1.69,1.69,0.5347
Strawberries,2019/4/28,0.58,2.79,1.95,2.38,2.96,3.3448
Romaine Lettuce,2019/4/28,0.39,1.89,2.0,1.69,1.86,3.7692
Red Leaf Lettuce,2019/4/28,0.38,1.69,1.75,1.84,1.86,3.6974
Potatoes,2019/4/28,1.6,4.97,5.14,3.99,6.22,2.1750000000000003
Oranges,2019/4/28,0.41,1.47,1.47,1.17,1.99,2.7195
Iceberg Lettuce,2019/4/28,0.35,1.44,1.56,1.84,1.56,3.5714
Green Leaf Lettuce,2019/4/28,0.35,1.84,1.7,1.84,2.07,4.3214
Celery,2019/4/28,2.63,1.82,2.36,2.59,2.24,-0.1435
Cauliflower,2019/4/28,3.23,3.41,3.43,3.88,3.35,0.08900000000000001
Carrots,2019/4/28,0.3,0.99,0.96,0.99,1.12,2.3833
Broccoli Crowns,2019/4/28,1.04,1.82,1.85,1.99,2.24,0.899
Broccoli Bunches,2019/4/28,1.27,1.61,2.04,1.56,1.63,0.3465
Avocados,2019/4/28,0.94,1.09,1.57,1.53,1.7,0.5665
