gpa,study_hours
4.0,10.0
3.8,25.0
3.93,45.0
3.4,10.0
3.2,4.0
3.52,10.0
3.68,24.0
3.4,40.0
3.7,10.0
3.75,10.0
3.3,30.0
3.425,7.0
3.795,15.0
3.83,60.0
3.3,10.0
3.75,10.0
3.15,6.0
3.7,20.0
3.8,8.0
3.63,30.0
3.9,35.0
3.294,12.0
3.7,6.0
3.4,20.0
4.0,10.0
3.4,14.0
3.7,10.0
3.8,10.0
3.4,30.0
3.4,20.0
3.4,7.0
3.0,20.0
3.6,16.0
3.567,14.0
3.3,21.0
3.4,21.0
3.6,11.0
3.67,10.0
3.82,10.0
2.9,15.0
3.9,10.0
3.4,10.0
3.6,20.0
3.1,10.0
3.4,10.0
3.8,12.0
3.7,25.0
3.7,20.0
3.8,25.0
3.92,15.0
3.8,10.0
3.868,40.0
3.35,15.0
3.85,10.0
3.55,10.0
3.7,25.0
3.65,25.0
3.125,36.0
4.0,30.0
3.25,14.0
3.86,2.0
3.5,10.0
3.45,5.0
3.6,4.0
3.866,20.0
3.82,12.0
3.2,15.0
3.5,3.0
3.8,10.0
3.8,15.0
3.7,25.0
3.75,15.0
3.3,10.0
3.875,15.0
3.7,7.0
3.5,14.0
3.2,7.0
3.566,40.0
3.5,6.0
4.3,10.0
3.6,10.0
3.2,20.0
3.825,20.0
3.85,69.0
3.75,8.0
4.0,10.0
3.4,3.0
3.9,8.0
3.825,15.0
3.7,45.0
3.8,10.0
2.91,18.0
3.559,10.0
3.69,10.0
3.3,35.0
3.75,10.0
3.9,8.0
3.65,15.0
3.5,30.0
3.6,35.0
3.675,20.0
3.9,12.0
3.6,35.0
3.675,8.0
3.7,30.0
3.66,10.0
3.733,14.0
3.7,28.0
2.6,7.0
4.0,20.0
3.2,15.0
3.16,24.0
3.5,20.0
3.65,20.0
3.9,20.0
3.785,25.0
3.1,15.0
3.15,16.0
3.61,10.0
3.3,35.0
3.7,15.0
3.7,20.0
3.75,40.0
3.4,4.0
3.6,12.0
3.5,49.0
3.8,20.0
3.7,30.0
3.84,12.0
3.41,8.0
3.825,60.0
2.95,6.5
3.925,20.0
3.3,18.0
3.3,10.0
3.6,40.0
4.0,21.0
3.3,12.5
3.89,12.0
3.2,20.0
3.97,10.0
3.3,10.0
3.86,20.0
3.76,20.0
3.5,10.0
3.6,30.0
3.55,15.0
3.97,20.0
3.925,15.0
3.68,14.0
3.25,5.0
3.56,5.0
2.85,8.0
3.6,8.0
3.45,14.0
3.5,15.0
3.15,20.0
3.35,14.0
3.5,14.0
3.79,25.0
3.022,30.0
3.46,20.0
3.55,30.0
3.97,20.0
3.925,7.0
3.2,8.0
3.4,20.0
3.9,14.0
3.6,20.0
3.83,60.0
3.8,15.0
4.0,20.0
3.5,15.0
3.3,8.0
4.0,15.0
3.1,10.0
3.5,7.0
3.62,20.0
3.6,10.0
3.8,28.0
3.2,12.0
3.925,5.0
3.84,30.0
3.1,5.0
4.0,6.0
3.35,30.0
3.925,15.0
3.0,9.0
3.6,24.0
3.7,12.0
3.84,15.0
3.8,10.0
3.1,15.0
