work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023.0,Data DevOps Engineer,Data Engineering,EUR,88000.0,95012.0,Germany,Mid-level,Full-time,Hybrid,Germany,L
2023.0,Data Architect,Data Architecture and Modeling,USD,186000.0,186000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Architect,Data Architecture and Modeling,USD,81800.0,81800.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,212000.0,212000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,93300.0,93300.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,130000.0,130000.0,United States,Senior,Full-time,Remote,United States,M
2023.0,Data Scientist,Data Science and Research,USD,100000.0,100000.0,United States,Senior,Full-time,Remote,United States,M
2023.0,Machine Learning Researcher,Machine Learning and AI,USD,224400.0,224400.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Machine Learning Researcher,Machine Learning and AI,USD,138700.0,138700.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,210000.0,210000.0,United States,Executive,Full-time,Remote,United States,M
2023.0,Data Engineer,Data Engineering,USD,168000.0,168000.0,United States,Executive,Full-time,Remote,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,224400.0,224400.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,138700.0,138700.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,GBP,35000.0,43064.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023.0,Data Scientist,Data Science and Research,GBP,30000.0,36912.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023.0,Data Analyst,Data Analysis,USD,95000.0,95000.0,United States,Entry-level,Full-time,In-person,United States,M
2023.0,Data Analyst,Data Analysis,USD,75000.0,75000.0,United States,Entry-level,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,300000.0,300000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,234000.0,234000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Analytics Engineer,Leadership and Management,USD,140000.0,140000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Analytics Engineer,Leadership and Management,USD,120000.0,120000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,204500.0,204500.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,142200.0,142200.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Data Analyst,Data Analysis,USD,155000.0,155000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Data Analyst,Data Analysis,USD,110000.0,110000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,266500.0,266500.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,152000.0,152000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Applied Scientist,Data Science and Research,USD,222200.0,222200.0,United States,Mid-level,Full-time,In-person,United States,L
2023.0,Applied Scientist,Data Science and Research,USD,136000.0,136000.0,United States,Mid-level,Full-time,In-person,United States,L
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,273400.0,273400.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,182200.0,182200.0,United States,Senior,Full-time,In-person,United States,M
2023.0,BI Developer,BI and Visualization,USD,167500.0,167500.0,United States,Senior,Full-time,In-person,United States,M
2023.0,BI Developer,BI and Visualization,USD,106500.0,106500.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,185900.0,185900.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,129300.0,129300.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Business Intelligence Engineer,BI and Visualization,USD,185000.0,185000.0,United States,Mid-level,Full-time,In-person,United States,L
2023.0,Business Intelligence Engineer,BI and Visualization,USD,79600.0,79600.0,United States,Mid-level,Full-time,In-person,United States,L
2023.0,Data Engineer,Data Engineering,USD,122000.0,122000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,94500.0,94500.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,247300.0,247300.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,139700.0,139700.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Analyst,Data Analysis,USD,176000.0,176000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Analyst,Data Analysis,USD,100000.0,100000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,204500.0,204500.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,142200.0,142200.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Research Scientist,Data Science and Research,USD,247600.0,247600.0,United States,Senior,Full-time,In-person,United States,L
2023.0,Research Scientist,Data Science and Research,USD,127300.0,127300.0,United States,Senior,Full-time,In-person,United States,L
2023.0,Data Scientist,Data Science and Research,USD,223400.0,223400.0,United States,Senior,Full-time,Remote,United States,M
2023.0,Data Scientist,Data Science and Research,USD,186200.0,186200.0,United States,Senior,Full-time,Remote,United States,M
2023.0,Data Engineer,Data Engineering,USD,167500.0,167500.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,106500.0,106500.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,185900.0,185900.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,129300.0,129300.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Research Analyst,Data Science and Research,USD,72000.0,72000.0,United States,Entry-level,Full-time,Remote,United States,M
2023.0,Research Analyst,Data Science and Research,USD,64000.0,64000.0,United States,Entry-level,Full-time,Remote,United States,M
2023.0,Analytics Engineer,Leadership and Management,USD,179820.0,179820.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Analytics Engineer,Leadership and Management,USD,143860.0,143860.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Research Scientist,Data Science and Research,USD,283050.0,283050.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Research Scientist,Data Science and Research,USD,188700.0,188700.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,133000.0,133000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,58400.0,58400.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Research Engineer,Data Science and Research,USD,141298.0,141298.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Research Engineer,Data Science and Research,USD,115607.0,115607.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Analyst,Data Analysis,USD,100000.0,100000.0,United States,Entry-level,Full-time,In-person,United States,M
2023.0,Data Analyst,Data Analysis,USD,75000.0,75000.0,United States,Entry-level,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,266500.0,266500.0,Canada,Senior,Full-time,In-person,Canada,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,144400.0,144400.0,Canada,Senior,Full-time,In-person,Canada,M
2023.0,Data Engineer,Data Engineering,GBP,58000.0,71363.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M
2023.0,Data Engineer,Data Engineering,GBP,45000.0,55368.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M
2023.0,Research Scientist,Data Science and Research,USD,287500.0,287500.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Research Scientist,Data Science and Research,USD,156000.0,156000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Analyst,Data Analysis,USD,90000.0,90000.0,United States,Mid-level,Full-time,Remote,United States,M
2023.0,Data Analyst,Data Analysis,USD,70000.0,70000.0,United States,Mid-level,Full-time,Remote,United States,M
2023.0,Data Engineer,Data Engineering,USD,199000.0,199000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,162000.0,162000.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,170884.0,170884.0,United States,Mid-level,Full-time,Remote,United States,M
2023.0,Data Engineer,Data Engineering,USD,113923.0,113923.0,United States,Mid-level,Full-time,Remote,United States,M
2023.0,Data Engineer,Data Engineering,USD,184000.0,184000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Data Engineer,Data Engineering,USD,123000.0,123000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,235750.0,235750.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,174250.0,174250.0,United States,Senior,Full-time,In-person,United States,M
2023.0,Research Scientist,Data Science and Research,USD,165000.0,165000.0,United States,Mid-level,Full-time,Remote,United States,M
2023.0,Research Scientist,Data Science and Research,USD,118800.0,118800.0,United States,Mid-level,Full-time,Remote,United States,M
2023.0,Data Engineer,Data Engineering,USD,225000.0,225000.0,United States,Senior,Full-time,Remote,United States,M
2023.0,Data Engineer,Data Engineering,USD,150000.0,150000.0,United States,Senior,Full-time,Remote,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,213900.0,213900.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,116800.0,116800.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,220000.0,220000.0,United States,Senior,Full-time,Remote,United States,M
2023.0,Data Scientist,Data Science and Research,USD,150000.0,150000.0,United States,Senior,Full-time,Remote,United States,M
2023.0,Data Scientist,Data Science and Research,USD,150000.0,150000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Data Scientist,Data Science and Research,USD,100000.0,100000.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,247500.0,247500.0,United States,Mid-level,Full-time,In-person,United States,M
2023.0,Machine Learning Engineer,Machine Learning and AI,USD,172200.0,172200.0,United States,Mid-level,Full-time,In-person,United States,M
