Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
32.0,Male,1,Software Engineer,5.0,90000.0,UK,White,0
28.0,Female,2,Data Analyst,3.0,65000.0,USA,Hispanic,0
45.0,Male,3,Manager,15.0,150000.0,Canada,White,1
36.0,Female,1,Sales Associate,7.0,60000.0,USA,Hispanic,0
52.0,Male,2,Director,20.0,200000.0,USA,Asian,0
29.0,Male,1,Marketing Analyst,2.0,55000.0,USA,Hispanic,0
42.0,Female,2,Product Manager,12.0,120000.0,USA,Asian,0
31.0,Male,1,Sales Manager,4.0,80000.0,China,Korean,0
26.0,Female,1,Marketing Coordinator,1.0,45000.0,China,Chinese,0
38.0,Male,3,Scientist,10.0,110000.0,Australia,Australian,1
29.0,Male,2,Software Developer,3.0,75000.0,UK,Welsh,0
48.0,Female,1,HR Manager,18.0,140000.0,UK,Asian,0
35.0,Male,1,Financial Analyst,6.0,65000.0,China,Korean,0
40.0,Female,2,Project Manager,14.0,130000.0,USA,African American,0
27.0,Male,1,Customer Service Rep,2.0,40000.0,Canada,Asian,0
44.0,Male,1,Operations Manager,16.0,125000.0,China,Chinese,0
33.0,Female,2,Marketing Manager,7.0,90000.0,USA,Asian,0
39.0,Male,3,Engineer,12.0,115000.0,UK,Mixed,1
25.0,Female,1,Data Entry Clerk,0.0,35000.0,UK,Asian,0
51.0,Male,1,Sales Director,22.0,180000.0,Australia,Asian,0
34.0,Female,2,Business Analyst,5.0,80000.0,China,Korean,0
47.0,Male,2,VP of Operations,19.0,190000.0,UK,White,0
30.0,Male,1,IT Support,2.0,50000.0,UK,Asian,0
36.0,Female,1,Recruiter,9.0,60000.0,China,White,0
41.0,Male,2,Financial Manager,13.0,140000.0,USA,African American,0
28.0,Female,1,Social Media Specialist,3.0,45000.0,Canada,White,0
37.0,Female,2,Software Manager,11.0,110000.0,Australia,Asian,0
24.0,Male,1,Developer,1.0,40000.0,Australia,Asian,0
43.0,Female,3,Consultant,15.0,140000.0,Canada,Black,1
33.0,Male,2,Product Designer,6.0,90000.0,China,Korean,0
50.0,Male,1,CEO,25.0,250000.0,Canada,Asian,0
31.0,Female,1,Accountant,4.0,55000.0,UK,White,0
29.0,Male,2,Data Scientist,3.0,75000.0,USA,Hispanic,0
39.0,Female,1,Marketing Specialist,10.0,65000.0,Canada,White,0
46.0,Male,3,Manager,20.0,170000.0,USA,Hispanic,1
27.0,Male,1,Technical Writer,2.0,45000.0,Australia,Asian,0
35.0,Female,1,HR Generalist,7.0,60000.0,UK,White,0
42.0,Male,2,Project Engineer,14.0,115000.0,China,White,0
26.0,Female,1,Customer Success Rep,1.0,40000.0,Canada,Asian,0
49.0,Male,1,Sales Executive,21.0,160000.0,China,White,0
34.0,Female,2,UX Designer,5.0,80000.0,UK,Asian,0
48.0,Male,2,Operations Director,18.0,190000.0,Canada,Black,0
30.0,Male,1,Network Engineer,3.0,60000.0,China,Korean,0
36.0,Female,1,Administrative Assistant,8.0,45000.0,UK,Asian,0
41.0,Male,2,Strategy Consultant,13.0,130000.0,UK,Asian,0
28.0,Female,1,Copywriter,2.0,40000.0,USA,White,0
32.0,Male,1,Account Manager,5.0,75000.0,Australia,Asian,0
45.0,Female,2,Director of Marketing,16.0,180000.0,UK,Welsh,0
38.0,Male,3,Scientist,11.0,120000.0,Australia,Asian,1
25.0,Male,1,Help Desk Analyst,0.0,35000.0,USA,Asian,0
51.0,Female,1,Customer Service Manager,22.0,130000.0,China,Korean,0
33.0,Male,2,Business Intelligence Analyst,7.0,85000.0,Australia,Australian,0
40.0,Female,1,Event Coordinator,12.0,60000.0,China,White,0
47.0,Male,2,VP of Finance,19.0,200000.0,Australia,Asian,0
29.0,Female,1,Graphic Designer,3.0,50000.0,Canada,Black,0
36.0,Male,1,Sales Manager,9.0,95000.0,China,Korean,0
27.0,Female,2,UX Researcher,2.0,65000.0,Canada,White,0
43.0,Male,3,Engineer,17.0,140000.0,USA,Hispanic,1
