gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,72.0,72.0,74.0
female,group C,some college,standard,completed,69.0,90.0,88.0
female,group B,master's degree,standard,none,90.0,95.0,93.0
male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0
male,group C,some college,standard,none,76.0,78.0,75.0
female,group B,associate's degree,standard,none,71.0,83.0,78.0
female,group B,some college,standard,completed,88.0,95.0,92.0
male,group B,some college,free/reduced,none,40.0,43.0,39.0
male,group D,high school,free/reduced,completed,64.0,64.0,67.0
female,group B,high school,free/reduced,none,38.0,60.0,50.0
male,group C,associate's degree,standard,none,58.0,54.0,52.0
male,group D,associate's degree,standard,none,40.0,52.0,43.0
female,group B,high school,standard,none,65.0,81.0,73.0
male,group A,some college,standard,completed,78.0,72.0,70.0
female,group A,master's degree,standard,none,50.0,53.0,58.0
female,group C,some high school,standard,none,69.0,75.0,78.0
male,group C,high school,standard,none,88.0,89.0,86.0
female,group B,some high school,free/reduced,none,18.0,32.0,28.0
male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0
female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0
male,group D,high school,standard,none,66.0,69.0,63.0
female,group B,some college,free/reduced,completed,65.0,75.0,70.0
male,group D,some college,standard,none,44.0,54.0,53.0
female,group C,some high school,standard,none,69.0,73.0,73.0
male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0
male,group A,master's degree,free/reduced,none,73.0,74.0,72.0
male,group B,some college,standard,none,69.0,54.0,55.0
female,group C,bachelor's degree,standard,none,67.0,69.0,75.0
male,group C,high school,standard,none,70.0,70.0,65.0
female,group D,master's degree,standard,none,62.0,70.0,75.0
female,group D,some college,standard,none,69.0,74.0,74.0
female,group B,some college,standard,none,63.0,65.0,61.0
female,group E,master's degree,free/reduced,none,56.0,72.0,65.0
male,group D,some college,standard,none,40.0,42.0,38.0
male,group E,some college,standard,none,97.0,87.0,82.0
male,group E,associate's degree,standard,completed,81.0,81.0,79.0
female,group D,associate's degree,standard,none,74.0,81.0,83.0
female,group D,some high school,free/reduced,none,50.0,64.0,59.0
female,group D,associate's degree,free/reduced,completed,75.0,90.0,88.0
male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0
male,group C,associate's degree,free/reduced,none,55.0,61.0,54.0
female,group C,associate's degree,standard,none,58.0,73.0,68.0
female,group B,associate's degree,standard,none,53.0,58.0,65.0
male,group B,some college,free/reduced,completed,59.0,65.0,66.0
female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0
male,group B,associate's degree,standard,none,65.0,54.0,57.0
female,group A,associate's degree,standard,completed,55.0,65.0,62.0
female,group C,high school,standard,none,66.0,71.0,76.0
female,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0
male,group C,high school,standard,completed,82.0,84.0,82.0
male,group E,some college,standard,none,53.0,55.0,48.0
male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0
male,group C,some college,standard,none,53.0,44.0,42.0
male,group D,high school,standard,none,88.0,78.0,75.0
female,group C,some high school,free/reduced,completed,71.0,84.0,87.0
female,group C,high school,free/reduced,none,33.0,41.0,43.0
female,group E,associate's degree,standard,completed,82.0,85.0,86.0
male,group D,associate's degree,standard,none,52.0,55.0,49.0
male,group D,some college,standard,completed,58.0,59.0,58.0
female,group C,some high school,free/reduced,none,0.0,17.0,10.0
