gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,62.60205901094069,81.41889279086972,77.73004845991503
female,group C,some college,standard,completed,90.624650667335,67.32305569412625,76.96857986140253
female,group B,master's degree,standard,none,60.32102536764286,67.926909438915,76.08615772288015
male,group A,associate's degree,free/reduced,none,82.90663716163282,52.1664492201275,59.49762800107321
male,group C,some college,standard,none,68.2030363414603,76.3998455261887,70.20323000913706
female,group B,associate's degree,standard,none,70.7765551698761,55.821984981745246,75.87053976504767
female,group B,some college,standard,completed,72.70070673872013,69.62989820146228,52.91973836784759
male,group B,some college,free/reduced,none,75.5794912553811,84.00989131047342,63.118471569296766
male,group D,high school,free/reduced,completed,68.58975767924966,76.79734954051077,73.77238473524231
female,group B,high school,free/reduced,none,72.4134670548025,87.16832614485955,75.18446692708558
male,group C,associate's degree,standard,none,74.03183028886487,71.00533330911186,87.57937299673274
male,group D,associate's degree,standard,none,58.280483727243485,52.103031263945056,86.40644812779811
female,group B,high school,standard,none,75.93788106238397,83.57756018354972,76.37133184707625
male,group A,some college,standard,completed,81.30348568992758,58.721125596942485,74.73317098311603
female,group A,master's degree,standard,none,62.87108684775343,79.82953997759674,100.0
female,group C,some high school,standard,none,51.66555591377862,83.1206259301195,81.65445293754848
male,group C,high school,standard,none,77.4213504994857,70.70854137696907,78.52493324453359
female,group B,some high school,free/reduced,none,90.61694098443274,93.29788185189112,68.73965488068407
male,group C,master's degree,free/reduced,completed,86.20600248016108,56.47659709820644,89.5809022869605
female,group C,associate's degree,free/reduced,none,74.28798352425204,92.47825590069364,72.73596806549388
male,group D,high school,standard,none,78.64878422730034,86.98295635474203,59.32430833946056
female,group B,some college,free/reduced,completed,86.81030000480143,78.92005011466563,89.45048190666321
male,group D,some college,standard,none,76.53231841146284,81.87866175617506,70.85251361621138
female,group C,some high school,standard,none,82.27099084018593,72.27359055771666,66.15096396598888
male,group D,bachelor's degree,free/reduced,completed,95.27883879513764,87.30068241321037,72.64878549925352
male,group A,master's degree,free/reduced,none,78.53030536181956,79.24904380865738,52.651746476774
male,group B,some college,standard,none,82.19771215213251,87.35878796987078,88.41110659985726
female,group C,bachelor's degree,standard,none,76.72593914764194,65.63706241345727,100.0
male,group C,high school,standard,none,79.73514553602894,60.63809343586523,70.78228656534081
female,group D,master's degree,standard,none,51.93799280529688,69.26206794203958,68.38064684137879
female,group D,some college,standard,none,73.05355421889242,57.24362652349048,82.68886568511626
female,group B,some college,standard,none,80.00015650365258,78.79138702084579,67.3875851629897
female,group E,master's degree,free/reduced,none,78.65740612462362,95.57689749965051,77.06168697034718
