Entity,Code,Year,Terrorist attacks,Terrorism deaths,Attack method: Hijacking,Attack method: Hostage Taking (Barricade Incident),Attack method: Unarmed Assault,Attack method: Facility/Infrastructure Attack,Attack method: Hostage Taking (Kidnapping),Attack method: Assassination,Attack method: Armed Assault,Attack method: Bombing/Explosion,Death Age 100+,Death Age: 51-99 ,Death Age : 21-50 ,Death Age : 11-20 ,Death Age : 6-10 ,Death Age :  1-5,Terrorist Death Type : Suicide,Terrorist Death Type : Killed
Afghanistan,AFG,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1979,3.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,53.0
Afghanistan,AFG,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1987,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,1988,11.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,128.0
Afghanistan,AFG,1989,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0
Afghanistan,AFG,1990,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0
Afghanistan,AFG,1991,30.0,68.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,23.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,68.0
Afghanistan,AFG,1992,36.0,49.0,0.0,2.0,0.0,3.0,3.0,11.0,4.0,13.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,49.0
Afghanistan,AFG,1994,9.0,22.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,22.0
Afghanistan,AFG,1995,6.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
Afghanistan,AFG,1996,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0
Afghanistan,AFG,1997,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
Afghanistan,AFG,1998,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
Afghanistan,AFG,1999,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,39.0
Afghanistan,AFG,2000,14.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,38.0
Afghanistan,AFG,2001,14.0,174.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,171.0
Afghanistan,AFG,2002,38.0,74.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,32.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,72.0
Afghanistan,AFG,2003,100.0,163.0,0.0,0.0,0.0,6.0,2.0,5.0,17.0,70.0,0.0,0.0,0.0,4.0,7.0,25.0,6.0,157.0
Afghanistan,AFG,2004,88.0,275.0,0.0,0.0,1.0,1.0,7.0,6.0,28.0,39.0,0.0,0.0,1.0,4.0,7.0,50.0,8.0,267.0
Afghanistan,AFG,2005,155.0,367.0,0.0,0.0,1.0,6.0,13.0,22.0,40.0,64.0,0.0,0.0,1.0,6.0,10.0,94.0,52.0,315.0
Afghanistan,AFG,2006,283.0,736.0,0.0,0.0,0.0,18.0,20.0,16.0,69.0,151.0,0.0,0.0,3.0,12.0,14.0,167.0,247.0,489.0
Afghanistan,AFG,2007,342.0,1201.0,0.0,0.0,0.0,13.0,26.0,17.0,94.0,185.0,0.0,1.0,7.0,12.0,41.0,210.0,501.0,700.0
Afghanistan,AFG,2008,414.0,1099.0,1.0,0.0,3.0,24.0,50.0,36.0,94.0,188.0,1.0,1.0,3.0,10.0,34.0,223.0,485.0,614.0
Afghanistan,AFG,2009,503.0,1065.0,3.0,1.0,6.0,26.0,48.0,37.0,95.0,276.0,0.0,0.0,3.0,15.0,35.0,256.0,284.0,781.0
Afghanistan,AFG,2010,542.0,1157.0,1.0,0.0,7.0,17.0,78.0,57.0,90.0,266.0,0.0,1.0,4.0,16.0,30.0,247.0,355.0,802.0
Afghanistan,AFG,2011,421.0,1525.0,1.0,1.0,3.0,5.0,40.0,55.0,65.0,236.0,0.0,2.0,9.0,19.0,41.0,237.0,644.0,881.0
Afghanistan,AFG,2012,1469.0,3521.0,0.0,2.0,15.0,26.0,57.0,72.0,337.0,886.0,0.0,0.0,14.0,35.0,101.0,909.0,774.0,2747.0
Afghanistan,AFG,2013,1443.0,3709.0,0.0,0.0,6.0,29.0,86.0,84.0,335.0,829.0,0.0,3.0,3.0,47.0,125.0,868.0,608.0,3101.0
Afghanistan,AFG,2014,1824.0,5414.0,2.0,6.0,2.0,47.0,124.0,109.0,355.0,1017.0,0.0,2.0,25.0,59.0,164.0,1065.0,884.0,4530.0
Afghanistan,AFG,2015,1928.0,6216.0,1.0,9.0,15.0,65.0,194.0,178.0,541.0,738.0,1.0,3.0,45.0,88.0,163.0,974.0,712.0,5504.0
Afghanistan,AFG,2016,1616.0,6141.0,2.0,4.0,9.0,32.0,148.0,119.0,358.0,639.0,1.0,9.0,37.0,95.0,152.0,775.0,681.0,5460.0
Afghanistan,AFG,2017,1415.0,6095.0,2.0,2.0,4.0,35.0,112.0,124.0,338.0,531.0,1.0,10.0,42.0,81.0,150.0,723.0,1407.0,4688.0
Afghanistan,AFG,2018,1777.0,9812.0,5.0,15.0,5.0,42.0,174.0,113.0,386.0,539.0,3.0,13.0,74.0,137.0,231.0,869.0,1546.0,8266.0
Afghanistan,AFG,2019,1806.0,8257.0,4.0,3.0,2.0,21.0,114.0,127.0,279.0,595.0,1.0,4.0,67.0,128.0,237.0,1026.0,942.0,7315.0
Afghanistan,AFG,2020,2604.0,10081.0,3.0,2.0,1.0,24.0,150.0,203.0,467.0,836.0,0.0,3.0,51.0,148.0,359.0,1621.0,531.0,9550.0
Afghanistan,AFG,2021,1453.0,4337.0,2.0,1.0,3.0,22.0,98.0,138.0,287.0,491.0,0.0,1.0,12.0,64.0,135.0,939.0,166.0,4171.0
Africa,,1970,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Africa,,1971,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Africa,,1972,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,,1973,5.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
Africa,,1974,7.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
Africa,,1975,12.0,29.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,29.0
Africa,,1976,13.0,8.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0
Africa,,1977,27.0,17.0,1.0,0.0,0.0,1.0,4.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,17.0
Africa,,1978,32.0,51.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,19.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,51.0
Africa,,1979,81.0,215.0,3.0,0.0,0.0,3.0,5.0,15.0,9.0,40.0,0.0,1.0,0.0,3.0,1.0,28.0,0.0,215.0
Africa,,1980,53.0,100.0,0.0,0.0,0.0,1.0,1.0,9.0,7.0,30.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,100.0
Africa,,1981,107.0,169.0,1.0,0.0,0.0,11.0,2.0,14.0,4.0,69.0,0.0,1.0,1.0,0.0,3.0,28.0,0.0,169.0
Africa,,1982,60.0,53.0,1.0,0.0,0.0,2.0,7.0,4.0,4.0,36.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,53.0
Africa,,1983,106.0,482.0,0.0,0.0,0.0,2.0,8.0,14.0,5.0,69.0,0.0,4.0,2.0,2.0,2.0,21.0,0.0,482.0
Africa,,1984,127.0,1044.0,1.0,1.0,0.0,5.0,5.0,19.0,7.0,78.0,4.0,0.0,2.0,1.0,4.0,37.0,0.0,1044.0
Africa,,1985,145.0,213.0,3.0,2.0,1.0,8.0,2.0,21.0,4.0,91.0,0.0,1.0,1.0,0.0,5.0,37.0,0.0,213.0
Africa,,1986,194.0,814.0,0.0,0.0,0.0,9.0,3.0,21.0,10.0,127.0,2.0,1.0,2.0,0.0,10.0,59.0,0.0,814.0
Africa,,1987,189.0,849.0,0.0,0.0,1.0,2.0,7.0,19.0,38.0,94.0,1.0,1.0,4.0,2.0,7.0,53.0,0.0,849.0
Africa,,1988,346.0,708.0,1.0,0.0,0.0,7.0,4.0,40.0,55.0,226.0,0.0,1.0,6.0,13.0,6.0,86.0,0.0,708.0
Africa,,1989,299.0,1203.0,1.0,2.0,0.0,4.0,2.0,45.0,96.0,143.0,1.0,2.0,11.0,16.0,21.0,73.0,1.0,1202.0
Africa,,1990,464.0,684.0,0.0,1.0,0.0,24.0,11.0,49.0,88.0,290.0,0.0,1.0,4.0,16.0,16.0,86.0,0.0,684.0
Africa,,1991,310.0,1401.0,7.0,0.0,2.0,19.0,5.0,74.0,143.0,53.0,0.0,5.0,11.0,15.0,27.0,134.0,0.0,1401.0
Africa,,1992,862.0,2719.0,8.0,1.0,5.0,60.0,16.0,300.0,308.0,139.0,4.0,5.0,11.0,17.0,47.0,439.0,0.0,2719.0
Africa,,1994,791.0,3893.0,9.0,2.0,7.0,26.0,41.0,304.0,244.0,100.0,2.0,7.0,17.0,24.0,53.0,437.0,0.0,3893.0
Africa,,1995,523.0,1836.0,4.0,0.0,2.0,18.0,30.0,188.0,149.0,106.0,1.0,2.0,11.0,28.0,29.0,311.0,54.0,1782.0
Africa,,1996,389.0,2973.0,6.0,4.0,2.0,23.0,13.0,80.0,126.0,100.0,4.0,4.0,17.0,29.0,38.0,190.0,0.0,2973.0
Africa,,1997,638.0,6604.0,2.0,0.0,3.0,42.0,16.0,51.0,261.0,152.0,7.0,12.0,55.0,90.0,85.0,258.0,0.0,6604.0
Africa,,1998,241.0,2398.0,0.0,0.0,1.0,3.0,12.0,1.0,92.0,116.0,5.0,4.0,14.0,33.0,35.0,86.0,235.0,2163.0
Africa,,1999,247.0,1246.0,0.0,0.0,2.0,10.0,22.0,11.0,109.0,82.0,0.0,3.0,7.0,24.0,21.0,115.0,0.0,1246.0
Africa,,2000,330.0,1559.0,0.0,1.0,3.0,12.0,34.0,9.0,175.0,69.0,1.0,1.0,14.0,17.0,38.0,154.0,0.0,1559.0
Africa,,2001,275.0,1796.0,3.0,0.0,4.0,20.0,19.0,12.0,151.0,45.0,2.0,2.0,11.0,24.0,37.0,126.0,0.0,1796.0
Africa,,2002,251.0,1660.0,0.0,0.0,2.0,4.0,20.0,5.0,121.0,83.0,0.0,8.0,10.0,22.0,39.0,92.0,37.0,1623.0
Africa,,2003,152.0,858.0,0.0,1.0,1.0,2.0,13.0,10.0,77.0,31.0,0.0,2.0,6.0,13.0,24.0,77.0,45.0,813.0
Africa,,2004,104.0,520.0,0.0,0.0,0.0,1.0,1.0,6.0,47.0,37.0,0.0,1.0,5.0,8.0,11.0,57.0,37.0,483.0
Africa,,2005,166.0,699.0,0.0,0.0,0.0,2.0,11.0,14.0,69.0,58.0,0.0,1.0,6.0,11.0,11.0,92.0,92.0,607.0
Africa,,2006,271.0,1176.0,2.0,3.0,1.0,10.0,28.0,18.0,99.0,101.0,1.0,3.0,8.0,16.0,10.0,100.0,12.0,1164.0
Africa,,2007,435.0,1651.0,5.0,1.0,1.0,15.0,46.0,30.0,126.0,202.0,0.0,4.0,11.0,25.0,29.0,180.0,119.0,1532.0
Africa,,2008,490.0,1724.0,6.0,0.0,1.0,8.0,77.0,24.0,162.0,188.0,2.0,2.0,11.0,22.0,27.0,203.0,87.0,1637.0
Africa,,2009,393.0,1936.0,1.0,0.0,2.0,23.0,57.0,13.0,110.0,152.0,1.0,7.0,6.0,19.0,31.0,157.0,95.0,1841.0
Africa,,2010,433.0,939.0,5.0,0.0,4.0,7.0,71.0,23.0,103.0,182.0,0.0,2.0,4.0,9.0,23.0,166.0,127.0,812.0
Africa,,2011,533.0,1311.0,2.0,0.0,3.0,19.0,73.0,21.0,194.0,200.0,1.0,1.0,8.0,12.0,36.0,248.0,198.0,1113.0
Africa,,2012,1317.0,3105.0,1.0,6.0,3.0,98.0,67.0,98.0,469.0,533.0,1.0,0.0,13.0,52.0,75.0,622.0,360.0,2745.0
Africa,,2013,1663.0,4458.0,6.0,3.0,3.0,60.0,113.0,121.0,692.0,586.0,2.0,5.0,30.0,69.0,83.0,680.0,372.0,4086.0
Africa,,2014,3440.0,14462.0,22.0,12.0,6.0,148.0,468.0,219.0,1194.0,1107.0,14.0,36.0,112.0,125.0,237.0,1243.0,762.0,13700.0
Africa,,2015,3196.0,12411.0,29.0,34.0,15.0,82.0,382.0,183.0,967.0,1248.0,11.0,14.0,93.0,179.0,257.0,1142.0,2293.0,10118.0
Africa,,2016,2886.0,7954.0,24.0,14.0,7.0,127.0,435.0,205.0,842.0,1020.0,3.0,12.0,62.0,87.0,155.0,1210.0,1607.0,6347.0
Africa,,2017,2434.0,7931.0,29.0,29.0,11.0,123.0,334.0,203.0,763.0,770.0,5.0,12.0,32.0,75.0,164.0,1168.0,2066.0,5865.0
Africa,,2018,2462.0,6999.0,12.0,13.0,7.0,159.0,428.0,162.0,938.0,529.0,2.0,6.0,40.0,85.0,182.0,1123.0,801.0,6198.0
Africa,,2019,2093.0,6813.0,15.0,23.0,10.0,196.0,367.0,124.0,743.0,388.0,2.0,9.0,36.0,114.0,181.0,859.0,541.0,6272.0
Africa,,2020,2080.0,9114.0,10.0,18.0,2.0,171.0,421.0,116.0,782.0,337.0,4.0,11.0,52.0,111.0,230.0,902.0,317.0,8797.0
Africa,,2021,1162.0,4872.0,5.0,5.0,0.0,73.0,211.0,97.0,527.0,173.0,0.0,6.0,41.0,72.0,114.0,517.0,352.0,4520.0
Albania,ALB,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
