index,Rank,Game Title,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Review
0,1,Wii Sports,Wii,2006.0,Sports,Nintendo,40.43,28.39,3.77,8.54,81.12,76.28
1,2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,91.0
2,3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,14.5,12.22,3.63,3.21,33.55,82.07
3,4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,14.82,10.51,3.18,3.01,31.52,82.65
4,5,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.5799999999999998,30.26,88.0
5,6,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,10.85,8.87,6.48,2.88,29.08,90.0
6,7,Wii Play,Wii,2006.0,Misc,Nintendo,13.83,9.11,2.93,2.84,28.71,61.64
7,8,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,84.0
8,9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,13.35,6.48,4.66,2.25,26.75,88.18
9,10,Nintendogs,DS,2005.0,Simulation,Nintendo,9.02,10.81,1.93,2.73,24.5,85.0
10,11,Pokémon Gold / Silver Version,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,89.0
11,12,Wii Fit,Wii,2007.0,Sports,Nintendo,8.91,8.15,3.6,2.08,22.74,81.2
12,13,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.34,7.12,4.11,1.9,22.47,91.34
13,14,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,8.82,7.94,2.53,1.86,21.15,80.83
14,15,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,8.48,0.41,2.49,20.81,95.08
15,16,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,94.0
16,17,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.72,9.1,4.16,2.04,20.02,78.05
17,18,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,13.5,4.34,0.24,1.82,19.9,65.39
18,19,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,82.0
19,20,Pokémon Diamond / Pearl Version,DS,2006.0,Role-Playing,Nintendo,6.32,4.34,6.04,1.35,18.05,90.0
20,21,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,93.0
21,22,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,94.43
22,23,Pokémon Ruby / Sapphire Version,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,86.0
23,24,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Misc,Nintendo,3.41,5.32,5.32,1.18,15.24,79.61
24,25,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,4.99,1.87,1.16,14.88,94.47
25,26,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.23,4.09,0.12,1.43,14.87,88.49
26,27,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,88.0
27,28,Pokémon Black / White Version,DS,2010.0,Role-Playing,Nintendo,5.3,2.81,5.64,0.89,14.64,85.88
28,29,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.08,3.42,0.1,1.3,13.9,87.56
29,30,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,91.0
30,31,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.27,3.39,0.08,1.26,13.0,93.57
31,32,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.46,4.7,0.47,2.02,12.65,88.1
32,33,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,93.0
33,34,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.67,3.96,0.47,1.79,11.88,88.36
