model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
columns-gpt-3.5-turbo_one-shot-CoT,0.92261,0.8869,0.94531,0.96186,0.88934,0.91892
columns-gpt-3.5-turbo_one-shot,0.92347,0.89881,0.93359,0.95339,0.88115,0.94208
columns-gpt-3.5-turbo_stats-prompt,0.92863,0.8869,0.92578,0.95339,0.91393,0.94981
columns-gpt-3.5-turbo_zero-shot-CoT,0.88048,0.91667,0.92578,0.89831,0.78279,0.88803
columns-gpt-3.5-turbo_zero-shot,0.87188,0.91667,0.89844,0.91525,0.77049,0.87259
columns-gpt-4o_one-shot-CoT,0.96819,0.94048,0.95312,0.99576,0.95902,0.98456
columns-gpt-4o_one-shot,0.96991,0.95833,0.95703,1.0,0.95492,0.97683
columns-gpt-4o_stats-prompt,0.96561,0.94643,0.95312,1.0,0.94672,0.97683
columns-gpt-4o_zero-shot-CoT,0.95271,0.93452,0.94531,0.99153,0.92623,0.96139
columns-gpt-4o_zero-shot,0.95013,0.92262,0.94531,0.99576,0.92623,0.95367
columns-gpt-4_one-shot-CoT,0.97592,0.95238,0.96484,1.0,0.97951,0.97683
columns-gpt-4_one-shot,0.96905,0.92857,0.95703,0.99153,0.97541,0.98069
columns-gpt-4_stats-prompt,0.96131,0.91071,0.95703,0.99153,0.97541,0.95753
columns-gpt-4_zero-shot-CoT,0.96389,0.93452,0.95703,1.0,0.94672,0.97297
columns-gpt-4_zero-shot,0.96561,0.94048,0.96094,0.99576,0.95082,0.97297
columns-human_Non-Stats Background_Closed-book,0.53448,0.29412,0.46154,0.6087,0.375,0.84615
columns-human_Non-Stats Background_Open-book,0.62069,0.64706,0.65385,0.52174,0.41667,0.84615
columns-human_Stats Background_Closed-book,0.65517,0.58824,0.65385,0.65217,0.54167,0.80769
columns-human_Stats Background_Open-book,0.87069,0.82353,0.73077,1.0,0.83333,0.96154
columns-llama2_13b_one-shot-CoT,0.60877,0.45238,0.51562,0.72034,0.52869,0.77606
columns-llama2_13b_one-shot,0.60533,0.39881,0.54688,0.69492,0.52869,0.78764
columns-llama2_13b_stats-prompt,0.59759,0.42857,0.47656,0.72881,0.51639,0.78378
columns-llama2_13b_zero-shot-CoT,0.41273,0.3869,0.19531,0.52119,0.40574,0.55212
columns-llama2_13b_zero-shot,0.39381,0.3631,0.16016,0.51271,0.36885,0.55985
columns-llama2_7b_one-shot-CoT,0.40327,0.2381,0.37109,0.40254,0.47951,0.47104
columns-llama2_7b_one-shot,0.44712,0.3631,0.42578,0.42797,0.4918,0.49807
columns-llama2_7b_sft_zero-shot,0.87016,0.83333,0.72656,0.93644,0.90984,0.93822
columns-llama2_7b_stats-prompt,0.44626,0.33333,0.39844,0.44915,0.47541,0.53668
columns-llama2_7b_zero-shot-CoT,0.25795,0.22024,0.17578,0.27119,0.31148,0.30116
columns-llama2_7b_zero-shot,0.31298,0.25,0.26172,0.31356,0.33197,0.3861
columns-llama3_8b_instruct_one-shot-CoT,0.83491,0.75595,0.80859,0.84746,0.81557,0.91892
columns-llama3_8b_instruct_one-shot,0.82975,0.79167,0.82422,0.86864,0.72951,0.91892
columns-llama3_8b_instruct_sft_zero-shot,0.94153,0.91667,0.91016,0.95763,0.93852,0.97683
columns-llama3_8b_instruct_stats-prompt,0.82029,0.78571,0.82031,0.85169,0.72541,0.90347
columns-llama3_8b_instruct_zero-shot-CoT,0.74463,0.67262,0.77344,0.74153,0.70492,0.80309
columns-llama3_8b_instruct_zero-shot,0.74549,0.67857,0.78516,0.71186,0.70492,0.81853
columns-llama3_8b_one-shot-CoT,0.85039,0.71429,0.78125,0.87712,0.89754,0.93822
columns-llama3_8b_one-shot,0.86758,0.75595,0.82031,0.91525,0.88525,0.92664
columns-llama3_8b_sft_zero-shot,0.93981,0.90476,0.91016,0.9661,0.91803,0.98842
columns-llama3_8b_stats-prompt,0.86071,0.75595,0.80469,0.90254,0.90164,0.90734
columns-llama3_8b_zero-shot-CoT,0.74979,0.64881,0.75391,0.72458,0.7459,0.83784
columns-llama3_8b_zero-shot,0.78246,0.66667,0.75,0.79661,0.76639,0.89189
