Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
llama2_7b_zero-shot,0.26311,0.09888,0.07309,0.09802,0.15563,0.23044,0,0
llama2_7b_one-shot,0.09716,0.10834,0.12296,0.1307,0.20722,0.18401,0,0
llama2_7b_zero-shot-CoT,0.31384,0.1135,0.05331,0.09544,0.14187,0.2184,0,0
llama2_7b_one-shot-CoT,0.12124,0.12468,0.10404,0.10404,0.19003,0.20636,0,0
llama2_7b_stats-prompt,0.06449,0.12038,0.14617,0.11006,0.23646,0.16165,0.0,0.0
llama2_13b_zero-shot,0.06965,0.07309,0.15219,0.11694,0.28203,0.21324,0,0
llama2_13b_one-shot,0.03783,0.09286,0.20292,0.20292,0.17283,0.11092,0,0
llama2_13b_zero-shot-CoT,0.04815,0.06793,0.17455,0.12124,0.2442,0.25365,0,0
llama2_13b_one-shot-CoT,0.05073,0.08169,0.2227,0.16767,0.18057,0.11006,0,0
llama2_13b_stats-prompt,0.0129,0.10662,0.23044,0.15735,0.19261,0.09716,0.0,0.0

llama3_8b_zero-shot,0.02923,0.03697,0.07739,0.46346,0.0215,0.13586,0,0
llama3_8b_one-shot,0.0172,0.02494,0.15391,0.38607,0.02837,0.07051,0,0
llama3_8b_zero-shot-CoT,0.01634,0.05761,0.09286,0.4325,0.02837,0.15219,0,0
llama3_8b_one-shot-CoT,0.03009,0.0258,0.13414,0.37317,0.03009,0.08426,0,0
llama3_8b_stats-prompt,0.00602,0.03783,0.16079,0.3362,0.02752,0.07051,0.0,0.0
llama3_8b_instruct_zero-shot,0.08169,0.01634,0.09544,0.46088,0.04041,0.16853,0,0
llama3_8b_instruct_one-shot,0.01892,0.04041,0.135,0.40499,0.04299,0.07567,0,0
llama3_8b_instruct_zero-shot-CoT,0.10834,0.02064,0.13929,0.42132,0.04213,0.15219,0,0
llama3_8b_instruct_one-shot-CoT,0.05503,0.04987,0.17111,0.3491,0.03439,0.05761,0,0
llama3_8b_instruct_stats-prompt,0.00602,0.05589,0.14187,0.39725,0.03353,0.0877,0.0,0.0

gpt-3.5-turbo_zero-shot,0.01548,0.04729,0.11866,0.37145,0.01634,0.05675,0,0
gpt-3.5-turbo_one-shot,0.02064,0.03783,0.06965,0.43422,0.00946,0.02064,0,0
gpt-3.5-turbo_zero-shot-CoT,0.00774,0.04299,0.12468,0.36887,0.0172,0.05675,0.0,0.0
gpt-3.5-turbo_one-shot-CoT,0.01462,0.03869,0.07739,0.43508,0.0129,0.02494,0.0,0.0
gpt-3.5-turbo_stats-prompt,0.01032,0.03869,0.06105,0.36543,0.01032,0.02064,0.0,0.0
gpt-4_zero-shot,0.0086,0.01118,0.03095,0.50387,0.00688,0.01462,0.0,0.0
gpt-4_one-shot,0.00516,0.00774,0.03525,0.44884,0.01032,0.0129,0.0,0.0
gpt-4_zero-shot-CoT,0.00946,0.01032,0.03525,0.48753,0.00602,0.01806,0.0,0.0
gpt-4_one-shot-CoT,0.00688,0.00516,0.03697,0.45744,0.00774,0.01118,0.0,0.0
gpt-4_stats-prompt,0.01978,0.00946,0.04901,0.37231,0.00774,0.00946,0.0,0.0
gpt-4o_zero-shot,0.00086,0.01548,0.06191,0.4454,0.01032,0.02322,0.0,0.0
gpt-4o_one-shot,0.00086,0.0086,0.04987,0.42562,0.01032,0.01118,0.0,0.0
gpt-4o_zero-shot-CoT,0.00086,0.01548,0.06019,0.44454,0.0086,0.02322,0.0,0.0
gpt-4o_one-shot-CoT,0.00086,0.01032,0.06191,0.41874,0.0086,0.0129,0.0,0.0
gpt-4o_stats-prompt,0.0,0.0129,0.04557,0.27171,0.00946,0.01204,0.0,0.0

llama2_7b_sft_zero-shot,0.00688,0.0963,0.01806,0.18487,0.0086,0.01806,0,0
llama3_8b_instruct_sft_zero-shot,0.00344,0.03353,0.0086,0.17369,0.0129,0.0086,0,0
llama3_8b_sft_zero-shot,0.00344,0.03439,0.00946,0.15907,0.01204,0.01032,0,0

human_Non-Stats Background_Closed-book,0,0.10345,0.2069,0.14655,0.23276,0.12931,0,0
human_Stats Background_Closed-book,0,0.06034,0.28448,0.13793,0.21552,0.06897,0,0
human_Non-Stats Background_Open-book,0,0.09483,0.21552,0.06034,0.18103,0.10345,0,0
human_Stats Background_Open-book,0,0.0431,0.18966,0.14655,0.07759,0.00862,0,0
