dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
Dataset for Admission in the University,Is the variability in GRE scores not significantly different from that in Letter of Recommendation?,"[{""column_header"": ""GRE Score"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""LOR "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 735.69701, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""GRE Score"", ""LOR ""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Crop Production Dataset,Are the variations in yearly crop yields in the United States similar to those in Bangladesh?,"[{""column_header"": ""United States"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Bangladesh"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 11.46874, \""p value\"": 0.01474}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 6.7422, \""p value\"": 0.00942}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 26.73523, \""p value\"": 0.00207}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""United States"", ""Bangladesh""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Terrorist Attacks Dataset,"What is the relationship between the Terrorist Death Type ""Killed"" and the Attack method ""Hostage Taking (Kidnapping)"" while accounting for the presence of the Attack method ""Armed Assault""?","[{""column_header"": ""Terrorist Death Type : Killed"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Hostage Taking (Kidnapping)"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Armed Assault"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.41449, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Terrorist Death Type : Killed"", ""Attack method: Hostage Taking (Kidnapping)"", ""Attack method: Armed Assault""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Customer Personality Analysis Dataset,How skewed is the distribution of spending on meat (MntMeatProducts) in the last 2 years?,"[{""column_header"": ""MntMeatProducts"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""5.51672"", ""conclusion"": ""5.51672""}]","{""columns"": [""MntMeatProducts""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
Income and Happiness Score Dataset,Do observable differences exist in the distribution shapes of the overall happiness score and Gross Domestic Product (GDP)?,"[{""column_header"": ""happyScore"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""GDP"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""happyScore"", ""GDP""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Income and Happiness Score Dataset,Could you calculate the average level of income inequality within the country?,"[{""column_header"": ""income_inequality"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mean"", ""result"": ""38.41781"", ""conclusion"": ""38.41781""}]","{""columns"": [""income_inequality""], ""methods"": [""Mean""]}",Descriptive Statistics,easy
Exercise and Fitness Metrics Dataset,Is there evidence to suggest that the variable Age does not follow a normal distribution?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 47.09029, \\\""crit\\\"": 0.575}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Age""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Crop Production Dataset,Is it appropriate to apply methods assuming normality to the annual crop production data from Vietnam?,"[{""column_header"": ""Vietnam"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.28013, \\\""crit\\\"": 1.317}\""}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Shapiro-Wilk Test of Normality"", ""result"": ""{\""p value\"": 0.49844}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.8894}"", ""conclusion"": ""Normally distributed""}]","{""columns"": [""Vietnam""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality""]}",Distribution Compliance Test,hard
Income and Happiness Score Dataset,How much variability is observed in the adjusted self-reported happiness scores?,"[{""column_header"": ""adjusted_satisfaction"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Range"", ""result"": ""55.0"", ""conclusion"": ""55.0""}]","{""columns"": [""adjusted_satisfaction""], ""methods"": [""Range""]}",Descriptive Statistics,easy
Students Math-Reading-Writing Performance Dataset,Is the reading score distributed according to a Gamma distribution?,"[{""column_header"": ""reading score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Gamma distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""reading score""], ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]}",Distribution Compliance Test,easy
